clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
1,Aguascalientes,1001,Aguascalientes,"801,807",30.2,"242,317",2.2,"17,308",28.1,"225,009",27,"216,099",9,"71,983",33.8,"271,408",14.8,"118,779",21.9,"175,394",41.6,"333,652",4.6,"36,854",3.4,"27,587",15.6,"124,906",57.2,"458,416",9.4,"75,360",39.2,"314,300",9.9,"79,703"
1,Aguascalientes,1002,Asientos,"48,358",65.5,"31,694",8.5,"4,134",57,"27,560",22.4,"10,809",5.3,"2,553",6.8,"3,302",22.6,"10,953",13.8,"6,655",75.5,"36,487",11.1,"5,365",11.3,"5,488",31.5,"15,249",87.9,"42,503",18.4,"8,918",70.8,"34,247",33.8,"16,326"
1,Aguascalientes,1003,Calvillo,"57,627",68.4,"39,419",7.6,"4,377",60.8,"35,041",22.8,"13,126",3.5,"2,010",5.3,"3,072",28.3,"16,282",18.3,"10,535",82.5,"47,557",9.8,"5,658",8.3,"4,807",19.3,"11,134",91.2,"52,545",16.7,"9,605",71.9,"41,428",33.9,"19,519"
1,Aguascalientes,1004,Cosío,"14,929",54.2,"8,091",5.3,792,48.9,"7,299",28.5,"4,250",5.7,858,11.6,"1,730",20.9,"3,127",11.9,"1,772",70.2,"10,487",12.8,"1,916",6.6,986,30.5,"4,553",82.7,"12,341",17.3,"2,579",59.9,"8,950",22.3,"3,331"
1,Aguascalientes,1005,Jesús María,"102,211",42.4,"43,315",5.1,"5,252",37.2,"38,062",28.4,"28,999",7.4,"7,574",21.8,"22,324",20.7,"21,161",13.3,"13,604",54.2,"55,351",13.2,"13,453",5.5,"5,606",27.4,"28,023",70.7,"72,313",16.6,"16,924",49.8,"50,888",16.9,"17,287"
1,Aguascalientes,1006,Pabellón de Arteaga,"40,659",51.1,"20,759",5.8,"2,355",45.3,"18,404",22.8,"9,270",7.9,"3,193",18.3,"7,437",19.4,"7,868",17.2,"6,992",54.3,"22,079",8.5,"3,462",6.4,"2,608",34,"13,824",73.9,"30,029",17.4,"7,057",58.9,"23,952",20.8,"8,474"
1,Aguascalientes,1007,Rincón de Romos,"48,526",51.2,"24,831",9.1,"4,413",42.1,"20,418",25.5,"12,361",5.3,"2,585",18,"8,749",20.8,"10,089",18,"8,727",64.8,"31,450",13.5,"6,558",7.1,"3,441",40.4,"19,622",76.6,"37,192",24.8,"12,012",56.5,"27,416",21.6,"10,497"
1,Aguascalientes,1008,San José de Gracia,"7,160",65.8,"4,709",12.7,911,53,"3,798",17.2,"1,234",4.9,354,12.1,863,19.1,"1,370",9.4,676,76.7,"5,490",10.1,724,13.9,998,32.1,"2,300",83,"5,943",20.5,"1,470",70.7,"5,063",37.6,"2,690"
1,Aguascalientes,1009,Tepezalá,"20,668",65.8,"13,595",9,"1,851",56.8,"11,744",22.8,"4,708",5.7,"1,183",5.7,"1,182",21.7,"4,486",10.1,"2,078",73.8,"15,253",12.9,"2,660",9.9,"2,047",35.8,"7,390",88.6,"18,303",18,"3,722",71.5,"14,778",33.3,"6,887"
1,Aguascalientes,1010,El Llano,"18,362",66.2,"12,157",12.6,"2,317",53.6,"9,841",22.5,"4,123",4,739,7.3,"1,343",26.6,"4,893",14.2,"2,602",75.4,"13,836",12,"2,203",13.6,"2,494",41.4,"7,601",88.7,"16,281",25.3,"4,649",70.2,"12,896",34.4,"6,316"
