
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_ing_c",="log_ing_c",="log_ing_c",="log_ing_c",="log_ing_c",="log_ing_c"

="inf_for",="0.11***",="0.10***",="0.065***",="",="",=""
="",="(0.00023)",="(0.00023)",="(0.00034)",="",="",=""

="for_inf",="-0.16***",="-0.16***",="-0.17***",="",="",=""
="",="(0.00023)",="(0.00023)",="(0.00034)",="",="",=""

="inf_inf",="-0.094***",="-0.099***",="-0.083***",="",="",=""
="",="(0.00013)",="(0.00013)",="(0.00037)",="",="",=""

="2.sex1",="-0.066***",="-0.061***",="-0.59***",="-0.071***",="-0.066***",="-0.60***"
="",="(0.00012)",="(0.00012)",="(0.017)",="(0.00012)",="(0.00012)",="(0.017)"

="eda1",="-0.020***",="-0.028***",="0.30***",="-0.0014***",="-0.011***",="0.33***"
="",="(0.00014)",="(0.00015)",="(0.0049)",="(0.00014)",="(0.00015)",="(0.0049)"

="anios_esc1",="0.0083***",="0.0049***",="-0.051***",="0.021***",="0.017***",="-0.051***"
="",="(0.000081)",="(0.000084)",="(0.0083)",="(0.000081)",="(0.000083)",="(0.0092)"

="hrsocup1",="-0.36***",="-0.36***",="-0.61***",="-0.36***",="-0.36***",="-0.61***"
="",="(0.000071)",="(0.000072)",="(0.000095)",="(0.000073)",="(0.000073)",="(0.000096)"

="2.t_tra1",="-0.20***",="",="-0.27***",="-0.20***",="",="-0.26***"
="",="(0.00020)",="",="(0.00027)",="(0.00020)",="",="(0.00027)"

="casado1",="0.0017***",="0.000096",="0.37***",="0.0051***",="0.0036***",="0.43***"
="",="(0.00011)",="(0.00011)",="(0.023)",="(0.00011)",="(0.00011)",="(0.024)"

="median_lum_c",="-0.00020",="0.0020***",="0.011***",="0.00097***",="0.0019***",="0.011***"
="",="(0.00012)",="(0.00013)",="(0.00021)",="(0.00012)",="(0.00013)",="(0.00021)"

="noimss_imss",="",="",="",="0.044***",="0.042***",="0.012***"
="",="",="",="",="(0.00027)",="(0.00027)",="(0.00040)"

="imss_noimss",="",="",="",="-0.086***",="-0.090***",="-0.098***"
="",="",="",="",="(0.00027)",="(0.00027)",="(0.00040)"

="noimss_noimss",="",="",="",="-0.073***",="-0.073***",="-0.069***"
="",="",="",="",="(0.00013)",="(0.00014)",="(0.00045)"

="N",="1298450070",="1298450070",="1298450070",="1287678797",="1287678797",="1287678797"
="R-sq",="0.028",="0.028",="0.220",="0.027",="0.027",="0.219"
="DepVarMean",="-0.0064",="-0.0064",="-0.0064",="-0.0061",="-0.0061",="-0.0061"
="obs",="4667032",="4667032",="4667032",="4629395",="4629395",="4629395"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
