
="",="(1)",="(2)",="(3)"
="",="p_t",="p_1",="e_t"

="TbL16x",="-0.0029",="0.011",="-0.055***"
="",="(0.011)",="(0.015)",="(0.018)"

="TbL12x",="-0.0034",="0.00070",="-0.036***"
="",="(0.0061)",="(0.0089)",="(0.011)"

="TbL8x",="-0.00010",="0.000015",="-0.015**"
="",="(0.0031)",="(0.0048)",="(0.0061)"

="Tbx",="-0.0069**",="-0.012**",="0.012**"
="",="(0.0028)",="(0.0047)",="(0.0050)"

="Tb4x",="-0.014***",="-0.019**",="0.019**"
="",="(0.0049)",="(0.0076)",="(0.0090)"

="Tb8x",="-0.022***",="-0.028***",="0.021*"
="",="(0.0068)",="(0.010)",="(0.012)"

="Tb12x",="-0.030***",="-0.034***",="0.012"
="",="(0.0083)",="(0.012)",="(0.015)"

="Tb16",="-0.044***",="-0.045***",="0.000021"
="",="(0.010)",="(0.015)",="(0.019)"

="N",="65424",="63586",="65424"
="R-sq",="0.299",="0.186",="0.230"
="DepVarMean",="4.20",="3.21",="6.39"
="num_mun",="1392",="1392",="1392"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
