
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="e7_",="e7",="e7",="e7",="e7",="e7",="e7",="e7"

="TbL16x",="-0.11**",="-0.16**",="-0.18**",="-0.15",="-0.19**",="-0.17*",="-0.17**",="-0.17**"
="",="(0.048)",="(0.080)",="(0.091)",="(0.095)",="(0.092)",="(0.095)",="(0.086)",="(0.084)"

="TbL12x",="-0.098**",="-0.13**",="-0.13**",="-0.12*",="-0.14**",="-0.13**",="-0.13**",="-0.12**"
="",="(0.048)",="(0.056)",="(0.063)",="(0.065)",="(0.061)",="(0.063)",="(0.062)",="(0.061)"

="TbL8x",="-0.050*",="-0.070**",="-0.080**",="-0.073**",="-0.083**",="-0.076**",="-0.077**",="-0.074**"
="",="(0.027)",="(0.032)",="(0.034)",="(0.035)",="(0.033)",="(0.033)",="(0.034)",="(0.033)"

="Tbx",="0.037**",="0.042",="0.056",="0.047",="0.055",="0.048",="0.050",="0.047"
="",="(0.019)",="(0.027)",="(0.036)",="(0.033)",="(0.036)",="(0.034)",="(0.038)",="(0.037)"

="Tb4x",="0.068**",="0.087*",="0.14**",="0.10*",="0.14*",="0.11*",="0.13*",="0.12"
="",="(0.032)",="(0.052)",="(0.070)",="(0.061)",="(0.071)",="(0.063)",="(0.076)",="(0.073)"

="Tb8x",="0.072*",="0.16**",="0.23**",="0.17*",="0.23**",="0.17*",="0.21*",="0.19*"
="",="(0.040)",="(0.078)",="(0.12)",="(0.099)",="(0.11)",="(0.096)",="(0.12)",="(0.11)"

="Tb12x",="0.059",="0.17*",="0.24",="0.16",="0.23",="0.16",="0.21",="0.18"
="",="(0.044)",="(0.099)",="(0.15)",="(0.12)",="(0.14)",="(0.12)",="(0.15)",="(0.14)"

="Tb16",="0.041",="0.17",="0.25",="0.17",="0.24*",="0.16",="0.22",="0.18"
="",="(0.051)",="(0.11)",="(0.15)",="(0.13)",="(0.15)",="(0.12)",="(0.16)",="(0.15)"

="N",="24402",="78338",="65424",="78338",="65247",="78158",="65247",="72705"
="R-sq",="0.267",="0.042",="0.053",="0.054",="0.054",="0.055",="0.058",="0.059"
="DepVarMean",="7.61",="2.43",="2.84",="2.43",="2.82",="2.42",="2.82",="2.59"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
