
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="p7_",="p7",="p7",="p7",="p7",="p7",="p7",="p7"

="TbL16x",="-0.021",="-0.026",="-0.021",="-0.023",="-0.026",="-0.032",="-0.037",="-0.035"
="",="(0.034)",="(0.025)",="(0.025)",="(0.029)",="(0.023)",="(0.026)",="(0.027)",="(0.027)"

="TbL12x",="-0.025",="-0.011",="-0.021",="-0.024*",="-0.021",="-0.027*",="-0.029",="-0.032*"
="",="(0.022)",="(0.025)",="(0.014)",="(0.014)",="(0.014)",="(0.015)",="(0.019)",="(0.019)"

="TbL8x",="-0.010",="-0.0063",="-0.013*",="-0.016**",="-0.013*",="-0.017**",="-0.016*",="-0.019**"
="",="(0.011)",="(0.011)",="(0.0077)",="(0.0078)",="(0.0076)",="(0.0078)",="(0.0094)",="(0.0095)"

="Tbx",="-0.0088",="-0.0012",="-0.0052",="0.00027",="-0.0028",="0.0040",="0.00037",="0.0060"
="",="(0.011)",="(0.0063)",="(0.0087)",="(0.0093)",="(0.0083)",="(0.0085)",="(0.0076)",="(0.0079)"

="Tb4x",="-0.0088",="0.011",="0.0019",="0.016",="0.0065",="0.023",="0.013",="0.026*"
="",="(0.020)",="(0.0096)",="(0.016)",="(0.018)",="(0.016)",="(0.017)",="(0.015)",="(0.016)"

="Tb8x",="-0.020",="0.028",="0.0072",="0.031",="0.014",="0.041",="0.023",="0.046*"
="",="(0.029)",="(0.019)",="(0.026)",="(0.028)",="(0.025)",="(0.026)",="(0.023)",="(0.025)"

="Tb12x",="-0.032",="0.042",="0.0026",="0.040",="0.0072",="0.049",="0.019",="0.055*"
="",="(0.036)",="(0.039)",="(0.033)",="(0.035)",="(0.031)",="(0.033)",="(0.028)",="(0.033)"

="Tb16",="-0.049",="0.11*",="-0.011",="0.053",="-0.0046",="0.065",="0.012",="0.077*"
="",="(0.043)",="(0.062)",="(0.037)",="(0.045)",="(0.035)",="(0.044)",="(0.032)",="(0.046)"

="N",="24402",="78338",="65424",="78338",="65247",="78158",="65247",="72705"
="R-sq",="0.318",="0.596",="0.287",="0.748",="0.261",="0.623",="0.270",="0.632"
="DepVarMean",="1.28",="0.52",="0.62",="0.52",="0.61",="0.51",="0.61",="0.55"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
