
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="total_d",="total_d",="total_d",="total_d",="total_d",="total_d",="total_d",="total_d"

="TbL16x",="0.013",="0.0090",="-0.013",="-0.013",="-0.015",="-0.016",="-0.025*",="-0.026*"
="",="(.)",="(0.012)",="(0.014)",="(0.013)",="(0.013)",="(0.013)",="(0.015)",="(0.014)"

="TbL12x",="-0.0013",="-0.0034",="-0.017*",="-0.017*",="-0.019**",="-0.019**",="-0.025***",="-0.025***"
="",="(.)",="(0.0061)",="(0.0096)",="(0.0092)",="(0.0091)",="(0.0088)",="(0.0092)",="(0.0091)"

="TbL8x",="-0.0021",="-0.0029",="-0.0045",="-0.0041",="-0.0048",="-0.0045",="-0.0084",="-0.0084"
="",="(.)",="(0.0045)",="(0.0057)",="(0.0056)",="(0.0053)",="(0.0052)",="(0.0054)",="(0.0054)"

="Tbx",="-0.017",="-0.014***",="-0.0083",="-0.0063",="-0.0084*",="-0.0065",="-0.0054",="-0.0034"
="",="(.)",="(0.0046)",="(0.0051)",="(0.0048)",="(0.0050)",="(0.0048)",="(0.0055)",="(0.0055)"

="Tb4x",="-0.012",="-0.0065",="0.0030",="0.0061",="0.0034",="0.0063",="0.0085",="0.011"
="",="(.)",="(0.0067)",="(0.0076)",="(0.0071)",="(0.0073)",="(0.0069)",="(0.0078)",="(0.0077)"

="Tb8x",="-0.030",="-0.021**",="-0.0040",="0.000061",="-0.0021",="0.0018",="0.0047",="0.0072"
="",="(.)",="(0.0087)",="(0.0097)",="(0.0090)",="(0.0092)",="(0.0086)",="(0.0098)",="(0.0097)"

="Tb12x",="-0.028",="-0.019**",="0.00048",="0.0045",="0.0032",="0.0071",="0.011",="0.013"
="",="(.)",="(0.0089)",="(0.012)",="(0.011)",="(0.011)",="(0.010)",="(0.012)",="(0.011)"

="Tb16",="-0.046",="-0.035",="-0.0023",="0.0014",="0.0010",="0.0046",="0.0098",="0.012"
="",="(.)",="(.)",="(0.013)",="(0.012)",="(0.013)",="(0.012)",="(0.014)",="(0.014)"

="N",="48943",="57341",="48943",="57341",="48843",="57241",="48843",="52629"
="R-sq",="0.101",="0.332",="0.415",="0.390",="0.416",="0.390",="0.417",="0.405"
="DepVarMean",="3.15",="3.01",="3.15",="3.01",="3.15",="3.01",="3.15",="3.08"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
