
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss"

="TbL16x",="0.000043",="-0.0053",="-0.031",="-0.032",="-0.031",="-0.031",="-0.052**",="-0.057**"
="",="(.)",="(0.019)",="(0.020)",="(0.020)",="(0.021)",="(0.020)",="(0.026)",="(0.025)"

="TbL12x",="-0.012",="-0.014",="-0.030**",="-0.030**",="-0.030**",="-0.030**",="-0.042**",="-0.044***"
="",="(.)",="(0.012)",="(0.015)",="(0.014)",="(0.015)",="(0.015)",="(0.017)",="(0.017)"

="TbL8x",="-0.0098",="-0.012",="-0.015",="-0.016*",="-0.014",="-0.015*",="-0.022**",="-0.024**"
="",="(.)",="(0.0080)",="(0.0093)",="(0.0091)",="(0.0094)",="(0.0092)",="(0.0099)",="(0.0097)"

="Tbx",="-0.0033",="-0.0034",="0.0021",="0.00098",="0.0018",="0.00047",="0.0081",="0.0084"
="",="(.)",="(0.0083)",="(0.0089)",="(0.0084)",="(0.0089)",="(0.0084)",="(0.0090)",="(0.0089)"

="Tb4x",="-0.0077",="-0.0065",="0.0039",="0.0022",="0.0034",="0.0014",="0.014",="0.014"
="",="(.)",="(0.011)",="(0.012)",="(0.012)",="(0.012)",="(0.011)",="(0.013)",="(0.013)"

="Tb8x",="-0.012",="-0.011",="0.014",="0.0090",="0.015",="0.010",="0.029*",="0.029*"
="",="(.)",="(0.014)",="(0.016)",="(0.014)",="(0.016)",="(0.014)",="(0.017)",="(0.017)"

="Tb12x",="-0.0056",="-0.0043",="0.026",="0.020",="0.028",="0.021",="0.043**",="0.044**"
="",="(.)",="(0.016)",="(0.018)",="(0.016)",="(0.018)",="(0.016)",="(0.019)",="(0.019)"

="Tb16",="-0.017",="-0.013",="0.030",="0.024",="0.031",="0.025",="0.047**",="0.049**"
="",="(.)",="(0.0085)",="(0.022)",="(0.020)",="(0.022)",="(0.020)",="(0.024)",="(0.023)"

="N",="48943",="57341",="48943",="57341",="48843",="57241",="48843",="52629"
="R-sq",="0.036",="0.097",="0.133",="0.126",="0.134",="0.126",="0.136",="0.133"
="DepVarMean",="1.56",="1.38",="1.56",="1.38",="1.56",="1.37",="1.56",="1.48"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
