
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="total_d_noasist",="total_d_noasist",="total_d_noasist",="total_d_noasist",="total_d_noasist",="total_d_noasist",="total_d_noasist",="total_d_noasist"

="TbL16x",="0.019",="0.015",="-0.027",="-0.028",="-0.033",="-0.033",="0.035",="0.034"
="",="(.)",="(0.047)",="(0.048)",="(0.046)",="(0.044)",="(0.042)",="(0.041)",="(0.040)"

="TbL12x",="-0.0048",="-0.0065",="-0.0038",="-0.0044",="-0.018",="-0.018",="0.031",="0.029"
="",="(.)",="(0.034)",="(0.033)",="(0.031)",="(0.031)",="(0.030)",="(0.029)",="(0.028)"

="TbL8x",="-0.012",="-0.012",="0.0021",="0.0016",="-0.0067",="-0.0073",="0.020",="0.018"
="",="(.)",="(0.021)",="(0.020)",="(0.019)",="(0.020)",="(0.019)",="(0.017)",="(0.017)"

="Tbx",="-0.029",="-0.026",="-0.0040",="-0.0032",="0.00073",="0.00097",="-0.020",="-0.018"
="",="(.)",="(0.019)",="(0.017)",="(0.016)",="(0.017)",="(0.015)",="(0.017)",="(0.016)"

="Tb4x",="-0.033",="-0.025",="0.021",="0.024",="0.024",="0.026",="-0.013",="-0.0081"
="",="(.)",="(0.026)",="(0.026)",="(0.023)",="(0.025)",="(0.022)",="(0.024)",="(0.023)"

="Tb8x",="-0.038",="-0.029",="0.0060",="0.0095",="0.012",="0.015",="-0.039",="-0.033"
="",="(.)",="(0.029)",="(0.033)",="(0.029)",="(0.031)",="(0.028)",="(0.032)",="(0.031)"

="Tb12x",="0.000089",="0.0063",="0.036",="0.037",="0.045",="0.045",="-0.016",="-0.010"
="",="(.)",="(0.038)",="(0.039)",="(0.034)",="(0.037)",="(0.033)",="(0.038)",="(0.038)"

="Tb16",="-0.040",="-0.033",="0.041",="0.040",="0.054",="0.052",="-0.016",="-0.0087"
="",="(.)",="(0.042)",="(0.046)",="(0.040)",="(0.045)",="(0.039)",="(0.044)",="(0.044)"

="N",="48943",="57341",="48943",="57341",="48843",="57241",="48843",="52629"
="R-sq",="0.408",="0.406",="0.486",="0.470",="0.489",="0.473",="0.493",="0.484"
="DepVarMean",="1.71",="1.64",="1.71",="1.64",="1.71",="1.64",="1.71",="1.67"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
