
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp"

="TbL16x",="0.61",="0.64***",="0.48***",="0.52***",="0.50***",="0.54***",="0.51***",="0.50***"
="",="(.)",="(0.094)",="(0.093)",="(0.092)",="(0.095)",="(0.095)",="(0.051)",="(0.052)"

="TbL12x",="0.40",="0.42***",="0.27***",="0.29***",="0.29***",="0.31***",="0.32***",="0.32***"
="",="(.)",="(0.067)",="(0.063)",="(0.061)",="(0.064)",="(0.064)",="(0.038)",="(0.038)"

="TbL8x",="0.21",="0.21***",="0.12***",="0.13***",="0.14***",="0.14***",="0.13***",="0.13***"
="",="(.)",="(0.043)",="(0.033)",="(0.032)",="(0.032)",="(0.032)",="(0.023)",="(0.023)"

="Tbx",="0.19",="0.18***",="0.23***",="0.21***",="0.21***",="0.19***",="0.21***",="0.20***"
="",="(.)",="(0.059)",="(0.066)",="(0.061)",="(0.055)",="(0.051)",="(0.044)",="(0.043)"

="Tb4x",="0.58",="0.55***",="0.53***",="0.49***",="0.49***",="0.46***",="0.49***",="0.49***"
="",="(.)",="(0.083)",="(0.092)",="(0.083)",="(0.075)",="(0.068)",="(0.057)",="(0.056)"

="Tb8x",="0.74",="0.70***",="0.71***",="0.65***",="0.66***",="0.61***",="0.65***",="0.65***"
="",="(.)",="(0.093)",="(0.11)",="(0.099)",="(0.089)",="(0.079)",="(0.071)",="(0.069)"

="Tb12x",="0.79",="0.73***",="0.84***",="0.78***",="0.80***",="0.74***",="0.78***",="0.78***"
="",="(.)",="(0.11)",="(0.12)",="(0.11)",="(0.10)",="(0.088)",="(0.089)",="(0.086)"

="Tb16",="0.85",="0.79***",="0.94***",="0.86***",="0.89***",="0.81***",="0.84***",="0.85***"
="",="(.)",="(0.12)",="(0.14)",="(0.12)",="(0.12)",="(0.100)",="(0.11)",="(0.10)"

="N",="48943",="57341",="48943",="57341",="48843",="57241",="48843",="52629"
="R-sq",="0.855",="0.860",="0.881",="0.878",="0.884",="0.881",="0.888",="0.887"
="DepVarMean",="0.78",="0.76",="0.78",="0.76",="0.78",="0.76",="0.78",="0.76"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
