
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp",="total_d_sp_cov_sp"

="TbL16x",="0.50",="0.52***",="0.44***",="0.46***",="0.45***",="0.47***",="0.39***",="0.39***"
="",="(.)",="(0.092)",="(0.093)",="(0.092)",="(0.096)",="(0.095)",="(0.050)",="(0.050)"

="TbL12x",="0.32",="0.33***",="0.23***",="0.25***",="0.25***",="0.27***",="0.24***",="0.24***"
="",="(.)",="(0.064)",="(0.063)",="(0.061)",="(0.064)",="(0.063)",="(0.035)",="(0.035)"

="TbL8x",="0.18",="0.18***",="0.12***",="0.12***",="0.13***",="0.14***",="0.11***",="0.11***"
="",="(.)",="(0.040)",="(0.031)",="(0.031)",="(0.031)",="(0.030)",="(0.020)",="(0.020)"

="Tbx",="0.097",="0.085",="0.13**",="0.11**",="0.11**",="0.099**",="0.12***",="0.12***"
="",="(.)",="(0.052)",="(0.062)",="(0.057)",="(0.051)",="(0.047)",="(0.038)",="(0.037)"

="Tb4x",="0.35",="0.32***",="0.32***",="0.29***",="0.29***",="0.26***",="0.31***",="0.30***"
="",="(.)",="(0.074)",="(0.084)",="(0.076)",="(0.069)",="(0.062)",="(0.047)",="(0.046)"

="Tb8x",="0.48",="0.44***",="0.44***",="0.39***",="0.40***",="0.36***",="0.41***",="0.41***"
="",="(.)",="(0.090)",="(0.11)",="(0.094)",="(0.087)",="(0.078)",="(0.062)",="(0.061)"

="Tb12x",="0.52",="0.47***",="0.55***",="0.50***",="0.51***",="0.46***",="0.52***",="0.52***"
="",="(.)",="(0.10)",="(0.12)",="(0.11)",="(0.098)",="(0.086)",="(0.075)",="(0.074)"

="Tb16",="0.59",="0.54***",="0.64***",="0.58***",="0.59***",="0.53***",="0.58***",="0.59***"
="",="(.)",="(0.11)",="(0.14)",="(0.12)",="(0.11)",="(0.096)",="(0.086)",="(0.085)"

="N",="48943",="57341",="48943",="57341",="48843",="57241",="48843",="52629"
="R-sq",="0.798",="0.812",="0.836",="0.833",="0.840",="0.836",="0.846",="0.845"
="DepVarMean",="0.52",="0.50",="0.52",="0.50",="0.52",="0.50",="0.52",="0.50"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
