
="",="(1)",="(2)",="(3)"
="",="informal",="informal",="informal"

="SP_b_F16x",="0.0062***",="0.0098***",="-0.0017"
="",="(0.0011)",="(0.0011)",="(0.0082)"

="SP_b_F12x",="0.0047***",="0.0069***",="-0.00024"
="",="(0.00077)",="(0.00077)",="(0.0055)"

="SP_b_F8x",="0.0019***",="0.0031***",="-0.0025"
="",="(0.00044)",="(0.00044)",="(0.0031)"

="SP_bx",="-0.00091**",="-0.0022***",="0.0011"
="",="(0.00042)",="(0.00042)",="(0.0029)"

="SP_b_L4x",="-0.0013*",="-0.0040***",="-0.0012"
="",="(0.00070)",="(0.00069)",="(0.0047)"

="SP_b_L8x",="0.0011",="-0.0029***",="-0.0049"
="",="(0.00094)",="(0.00092)",="(0.0063)"

="SP_b_L12x",="0.0046***",="-0.00049",="-0.0062"
="",="(0.0011)",="(0.0011)",="(0.0075)"

="SP_b_L16",="0.0093***",="0.0020",="-0.011"
="",="(0.0014)",="(0.0013)",="(0.0086)"

="N",="49405618",="49229277",="1051931"
="R-sq",="0.125",="0.125",="0.244"
="DepVarMean",="0.43",="0.43",="0.55"
="num_mun",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
