
="",="(1)",="(2)",="(3)",="(4)"
="",="e1",="e1",="e1",="e1"

="SP_b_F16x",="-0.011",="0.0061",="-0.016",="0.0044"
="",="(0.015)",="(0.012)",="(0.015)",="(0.012)"

="SP_b_F12x",="-0.0099",="-0.0053",="-0.013",="-0.0070"
="",="(0.0091)",="(0.0084)",="(0.0092)",="(0.0083)"

="SP_b_F8x",="-0.0026",="-0.00087",="-0.0038",="-0.0014"
="",="(0.0054)",="(0.0050)",="(0.0055)",="(0.0050)"

="SP_bx",="-0.011**",="-0.011**",="-0.0094*",="-0.010**"
="",="(0.0054)",="(0.0052)",="(0.0054)",="(0.0052)"

="SP_b_L4x",="-0.013",="-0.012",="-0.0094",="-0.0100"
="",="(0.0088)",="(0.0084)",="(0.0090)",="(0.0086)"

="SP_b_L8x",="-0.016",="-0.013",="-0.0039",="-0.0024"
="",="(0.011)",="(0.011)",="(0.012)",="(0.011)"

="SP_b_L12x",="-0.021",="-0.013",="-0.0069",="-0.0017"
="",="(0.014)",="(0.013)",="(0.014)",="(0.013)"

="SP_b_L16",="-0.030*",="-0.0084",="-0.012",="0.0066"
="",="(0.016)",="(0.015)",="(0.017)",="(0.015)"

="N",="66636",="66636",="78086",="78086"
="R-sq",="0.996",="0.996",="0.995",="0.995"
="DepVarMean",="3.22",="3.22",="2.83",="2.83"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
