
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="e_t",="e_t",="e_t",="e_t",="e_t",="e_t"

="SP_b_F16x",="-0.034**",="-0.069***",="-0.070***",="-0.054***",="-0.045***",="-0.042***"
="",="(0.015)",="(0.018)",="(0.018)",="(0.017)",="(0.015)",="(0.015)"

="SP_b_F12x",="-0.025***",="-0.044***",="-0.044***",="-0.034***",="-0.037***",="-0.032***"
="",="(0.0085)",="(0.012)",="(0.012)",="(0.011)",="(0.011)",="(0.010)"

="SP_b_F8x",="-0.011**",="-0.019***",="-0.019***",="-0.013**",="-0.016**",="-0.012**"
="",="(0.0048)",="(0.0062)",="(0.0064)",="(0.0058)",="(0.0063)",="(0.0056)"

="SP_bx",="0.0096**",="0.015***",="0.015***",="0.0085",="0.013***",="0.0091*"
="",="(0.0042)",="(0.0050)",="(0.0051)",="(0.0052)",="(0.0049)",="(0.0049)"

="SP_b_L4x",="0.018**",="0.024***",="0.024**",="0.015",="0.024***",="0.018**"
="",="(0.0077)",="(0.0091)",="(0.0092)",="(0.0093)",="(0.0086)",="(0.0085)"

="SP_b_L8x",="0.022**",="0.025**",="0.025**",="0.014",="0.029**",="0.021*"
="",="(0.011)",="(0.012)",="(0.013)",="(0.013)",="(0.011)",="(0.011)"

="SP_b_L12x",="0.020",="0.017",="0.015",="0.0032",="0.024*",="0.015"
="",="(0.014)",="(0.016)",="(0.016)",="(0.016)",="(0.014)",="(0.014)"

="SP_b_L16",="0.015",="0.00011",="0.0012",="-0.0089",="0.025",="0.016"
="",="(0.017)",="(0.020)",="(0.020)",="(0.020)",="(0.017)",="(0.017)"

="N",="66268",="66268",="66127",="66067",="66127",="66067"
="R-sq",="0.200",="0.221",="0.215",="0.252",="0.221",="0.258"
="DepVarMean",="6.33",="6.33",="6.32",="6.32",="6.32",="6.32"
="num_mun",="1410",="1410",="1407",="1406",="1407",="1406"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
