
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lg_ta_femenino",="lg_ta_femenino",="lg_ta_masculino",="lg_ta_masculino",="lg_trab_eventual",="lg_trab_eventual",="lg_trab_perm",="lg_trab_perm",="lg_trab_campo",="lg_trab_campo",="lg_trab_urb",="lg_trab_urb",="lg_ta_sal",="lg_ta_sal",="lg1_voluntarios",="lg1_voluntarios"

="SP_b_F16x",="-0.074***",="-0.033*",="-0.069***",="-0.054***",="-0.088**",="-0.047",="-0.066***",="-0.041***",="-0.18",="-0.000079",="-0.073***",="-0.049***",="-0.070***",="-0.048***",="-0.0077",="0.017"
="",="(0.019)",="(0.017)",="(0.019)",="(0.017)",="(0.042)",="(0.039)",="(0.018)",="(0.015)",="(0.15)",="(0.098)",="(0.019)",="(0.016)",="(0.018)",="(0.016)",="(0.054)",="(0.043)"

="SP_b_F12x",="-0.039***",="-0.025**",="-0.046***",="-0.043***",="-0.065**",="-0.044",="-0.039***",="-0.032***",="-0.12",="-0.046",="-0.044***",="-0.037***",="-0.044***",="-0.038***",="0.0028",="0.024"
="",="(0.011)",="(0.012)",="(0.013)",="(0.013)",="(0.028)",="(0.029)",="(0.011)",="(0.011)",="(0.092)",="(0.065)",="(0.012)",="(0.011)",="(0.012)",="(0.011)",="(0.033)",="(0.030)"

="SP_b_F8x",="-0.017***",="-0.012*",="-0.020***",="-0.018***",="-0.028*",="-0.015",="-0.019***",="-0.016***",="-0.068",="-0.034",="-0.019***",="-0.015**",="-0.019***",="-0.015**",="0.0071",="0.013"
="",="(0.0062)",="(0.0064)",="(0.0071)",="(0.0069)",="(0.016)",="(0.016)",="(0.0060)",="(0.0058)",="(0.053)",="(0.041)",="(0.0065)",="(0.0062)",="(0.0064)",="(0.0061)",="(0.018)",="(0.016)"

="SP_bx",="0.014**",="0.013**",="0.015***",="0.016***",="0.022",="0.013",="0.0095*",="0.010**",="0.074",="0.052",="0.015***",="0.017***",="0.015***",="0.018***",="-0.016",="-0.0074"
="",="(0.0061)",="(0.0061)",="(0.0056)",="(0.0062)",="(0.016)",="(0.017)",="(0.0050)",="(0.0049)",="(0.053)",="(0.045)",="(0.0052)",="(0.0057)",="(0.0051)",="(0.0058)",="(0.017)",="(0.018)"

="SP_b_L4x",="0.027**",="0.025**",="0.024**",="0.035***",="0.045*",="0.040",="0.016*",="0.021**",="0.078",="0.039",="0.023**",="0.033***",="0.024**",="0.036***",="-0.017",="-0.028"
="",="(0.011)",="(0.011)",="(0.0099)",="(0.010)",="(0.026)",="(0.025)",="(0.0091)",="(0.0090)",="(0.077)",="(0.057)",="(0.0094)",="(0.0097)",="(0.0093)",="(0.010)",="(0.029)",="(0.030)"

="SP_b_L8x",="0.026",="0.029*",="0.028**",="0.052***",="0.067*",="0.067**",="0.014",="0.032***",="0.11",="0.062",="0.024*",="0.049***",="0.026**",="0.052***",="-0.021",="-0.036"
="",="(0.016)",="(0.015)",="(0.013)",="(0.013)",="(0.035)",="(0.033)",="(0.012)",="(0.012)",="(0.097)",="(0.072)",="(0.013)",="(0.013)",="(0.013)",="(0.014)",="(0.040)",="(0.040)"

="SP_b_L12x",="0.019",="0.030",="0.021",="0.055***",="0.052",="0.054",="0.0054",="0.038**",="0.099",="0.063",="0.013",="0.050***",="0.016",="0.055***",="-0.050",="-0.058"
="",="(0.020)",="(0.019)",="(0.016)",="(0.016)",="(0.042)",="(0.040)",="(0.015)",="(0.015)",="(0.12)",="(0.098)",="(0.016)",="(0.016)",="(0.016)",="(0.017)",="(0.050)",="(0.051)"

="SP_b_L16",="0.0045",="0.043*",="0.0051",="0.061***",="0.035",="0.053",="-0.0087",="0.047**",="0.072",="0.078",="-0.0030",="0.056***",="0.0013",="0.062***",="-0.087",="-0.099*"
="",="(0.024)",="(0.022)",="(0.019)",="(0.019)",="(0.052)",="(0.047)",="(0.020)",="(0.019)",="(0.13)",="(0.11)",="(0.020)",="(0.019)",="(0.020)",="(0.020)",="(0.060)",="(0.060)"

="N",="65183",="70263",="66134",="72383",="59064",="63121",="66158",="72151",="38852",="40547",="66134",="72607",="66208",="72767",="66221",="73896"
="R-sq",="0.303",="0.299",="0.167",="0.161",="0.138",="0.161",="0.222",="0.200",="0.326",="0.347",="0.204",="0.180",="0.219",="0.192",="0.417",="0.460"
="DepVarMean",="4.99",="4.79",="6.01",="5.74",="4.32",="4.21",="6.16",="5.89",="3.62",="3.58",="6.20",="5.92",="6.27",="5.99",="5.25",="4.98"
="num_mun",="1408",="1649",="1409",="1684",="1403",="1632",="1409",="1663",="1077",="1142",="1409",="1686",="1409",="1690",="1409",="1698"
="pval_alpha",="",="1.4e-306",="",="0",="",="3.8e-210",="",="0",="",="0.00028",="",="0",="",="0",="",="9.3e-26"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
