
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lg1_emp_cross_1",="lg1_emp_cross_1",="lg1_emp_cross_50",="lg1_emp_cross_50",="lg1_emp_cross_250",="lg1_emp_cross_250",="lg1_emp_cross_1000m",="lg1_emp_cross_1000m",="lg1_ta_low_wage",="lg1_ta_low_wage",="lg1_ta_high_wage",="lg1_ta_high_wage",="lg1_ta_soltero",="lg1_ta_soltero",="lg1_ta_casado",="lg1_ta_casado"

="SP_b_F16x",="0.012",="0.016",="-0.023*",="-0.011",="-0.055",="-0.0073",="-0.17***",="-0.16***",="-0.068*",="-0.096*",="-0.061",="-0.054*",="-0.072***",="-0.049***",="-0.054***",="-0.037**"
="",="(0.016)",="(0.015)",="(0.013)",="(0.011)",="(0.037)",="(0.033)",="(0.055)",="(0.062)",="(0.040)",="(0.057)",="(0.038)",="(0.031)",="(0.020)",="(0.017)",="(0.016)",="(0.016)"

="SP_b_F12x",="-0.0014",="-0.0021",="-0.013*",="-0.010",="-0.020",="-0.0015",="-0.13***",="-0.13***",="-0.087***",="-0.10***",="-0.056**",="-0.056**",="-0.044***",="-0.035***",="-0.038***",="-0.033***"
="",="(0.011)",="(0.010)",="(0.0076)",="(0.0072)",="(0.025)",="(0.024)",="(0.043)",="(0.049)",="(0.024)",="(0.029)",="(0.025)",="(0.023)",="(0.013)",="(0.012)",="(0.012)",="(0.012)"

="SP_b_F8x",="0.0018",="0.0011",="-0.0054",="-0.0037",="-0.0064",="0.0027",="-0.070***",="-0.066**",="-0.0092",="-0.016",="-0.033**",="-0.033**",="-0.021***",="-0.016**",="-0.016**",="-0.013*"
="",="(0.0077)",="(0.0074)",="(0.0044)",="(0.0042)",="(0.014)",="(0.014)",="(0.025)",="(0.028)",="(0.012)",="(0.015)",="(0.015)",="(0.015)",="(0.0074)",="(0.0070)",="(0.0070)",="(0.0073)"

="SP_bx",="-0.013",="-0.012",="0.0031",="0.0040",="0.0050",="-0.0023",="0.042**",="0.037",="0.014",="0.020",="0.019*",="0.017*",="0.016**",="0.012*",="0.0053",="0.0021"
="",="(0.0081)",="(0.0078)",="(0.0045)",="(0.0042)",="(0.013)",="(0.014)",="(0.021)",="(0.023)",="(0.011)",="(0.012)",="(0.011)",="(0.0098)",="(0.0070)",="(0.0068)",="(0.0056)",="(0.0056)"

="SP_b_L4x",="-0.024**",="-0.021**",="0.0038",="0.0074",="0.0084",="-0.00084",="0.091**",="0.086**",="0.025",="0.036",="0.040**",="0.046***",="0.025**",="0.020*",="0.020**",="0.019**"
="",="(0.010)",="(0.0098)",="(0.0069)",="(0.0063)",="(0.023)",="(0.023)",="(0.040)",="(0.043)",="(0.019)",="(0.022)",="(0.019)",="(0.017)",="(0.012)",="(0.012)",="(0.0095)",="(0.0092)"

="SP_b_L8x",="-0.037***",="-0.031***",="0.00027",="0.0083",="0.018",="0.013",="0.15**",="0.14**",="0.033",="0.051*",="0.053**",="0.070***",="0.033**",="0.029*",="0.022*",="0.025**"
="",="(0.012)",="(0.012)",="(0.0093)",="(0.0084)",="(0.032)",="(0.032)",="(0.059)",="(0.063)",="(0.025)",="(0.030)",="(0.024)",="(0.021)",="(0.017)",="(0.015)",="(0.012)",="(0.012)"

="SP_b_L12x",="-0.039***",="-0.027*",="-0.012",="0.0024",="0.014",="0.011",="0.16**",="0.15**",="0.038",="0.061*",="0.039",="0.062**",="0.033*",="0.031*",="0.018",="0.023*"
="",="(0.015)",="(0.014)",="(0.011)",="(0.0100)",="(0.040)",="(0.040)",="(0.076)",="(0.078)",="(0.030)",="(0.035)",="(0.029)",="(0.024)",="(0.020)",="(0.017)",="(0.014)",="(0.013)"

="SP_b_L16",="-0.048***",="-0.028*",="-0.018",="0.010",="-0.021",="-0.0040",="0.16*",="0.16*",="0.054",="0.083**",="0.022",="0.065**",="0.031",="0.037*",="0.012",="0.028*"
="",="(0.017)",="(0.016)",="(0.014)",="(0.011)",="(0.048)",="(0.048)",="(0.088)",="(0.088)",="(0.036)",="(0.039)",="(0.035)",="(0.028)",="(0.024)",="(0.020)",="(0.018)",="(0.014)"

="N",="64434",="68947",="64434",="68947",="64434",="68947",="64434",="68947",="64374",="68862",="64374",="68862",="59817",="62551",="59817",="62551"
="R-sq",="0.040",="0.041",="0.135",="0.140",="0.111",="0.120",="0.057",="0.066",="0.876",="0.871",="0.644",="0.647",="0.546",="0.554",="0.348",="0.359"
="DepVarMean",="1.44",="1.37",="3.44",="3.33",="2.59",="2.49",="2.00",="1.91",="3.89",="3.77",="2.59",="2.49",="1.91",="1.87",="3.28",="3.23"
="num_mun",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pval_alpha",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
