
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="lg_afiliados_imss",="lg_afiliados_imss",="lg_afiliados_imss_1",="lg_afiliados_imss_1",="lg_afiliados_imss_50",="lg_afiliados_imss_50",="lg_afiliados_imss_250",="lg_afiliados_imss_250",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m"

="SP_b_F16x",="-0.083***",="-0.047***",="-0.0013",="0.0034",="-0.025*",="-0.0061",="-0.024",="0.010",="-0.12**",="-0.15**"
="",="(0.019)",="(0.016)",="(0.015)",="(0.011)",="(0.014)",="(0.011)",="(0.027)",="(0.021)",="(0.048)",="(0.075)"

="SP_b_F12x",="-0.051***",="-0.038***",="-0.0067",="-0.0079",="-0.014*",="-0.0075",="-0.0099",="0.0032",="-0.10**",="-0.12*"
="",="(0.012)",="(0.011)",="(0.0089)",="(0.0080)",="(0.0082)",="(0.0073)",="(0.017)",="(0.015)",="(0.048)",="(0.065)"

="SP_b_F8x",="-0.022***",="-0.016**",="-0.0040",="-0.0049",="-0.0031",="0.000038",="-0.0049",="0.0020",="-0.055**",="-0.065*"
="",="(0.0066)",="(0.0061)",="(0.0049)",="(0.0045)",="(0.0046)",="(0.0041)",="(0.010)",="(0.0089)",="(0.027)",="(0.035)"

="SP_bx",="0.023***",="0.018***",="-0.0089*",="-0.0066",="0.0026",="0.0010",="-0.0024",="-0.0092",="0.038**",="0.048**"
="",="(0.0060)",="(0.0058)",="(0.0048)",="(0.0046)",="(0.0044)",="(0.0042)",="(0.0097)",="(0.0094)",="(0.018)",="(0.024)"

="SP_b_L4x",="0.037***",="0.035***",="-0.013*",="-0.0074",="-0.000015",="0.0019",="0.00068",="-0.0079",="0.070**",="0.092**"
="",="(0.011)",="(0.0100)",="(0.0077)",="(0.0075)",="(0.0075)",="(0.0068)",="(0.017)",="(0.016)",="(0.031)",="(0.041)"

="SP_b_L8x",="0.049***",="0.051***",="-0.020*",="-0.0090",="-0.0028",="0.0031",="0.0032",="-0.0049",="0.075*",="0.11**"
="",="(0.015)",="(0.014)",="(0.010)",="(0.010)",="(0.010)",="(0.0092)",="(0.024)",="(0.023)",="(0.039)",="(0.049)"

="SP_b_L12x",="0.048**",="0.054***",="-0.024*",="-0.0085",="-0.0054",="0.0041",="0.0038",="-0.0038",="0.059",="0.099*"
="",="(0.019)",="(0.017)",="(0.012)",="(0.012)",="(0.013)",="(0.011)",="(0.032)",="(0.031)",="(0.044)",="(0.052)"

="SP_b_L16",="0.034",="0.061***",="-0.035**",="-0.0064",="-0.018",="0.0061",="-0.018",="-0.017",="0.047",="0.099*"
="",="(0.023)",="(0.020)",="(0.015)",="(0.014)",="(0.016)",="(0.013)",="(0.041)",="(0.040)",="(0.051)",="(0.053)"

="N",="72924",="72828",="68885",="68789",="71585",="71489",="44240",="44144",="24951",="24879"
="R-sq",="0.170",="0.186",="0.174",="0.182",="0.162",="0.177",="0.268",="0.274",="0.257",="0.274"
="DepVarMean",="6.04",="6.04",="3.05",="3.04",="5.36",="5.36",="6.17",="6.16",="7.60",="7.60"
="num_mun",="1692",="1690",="1650",="1648",="1676",="1674",="1276",="1274",="777",="775"
="pval_alpha",="",="0",="",="9.1e-214",="",="0",="",="8.0e-193",="",="0.000000050"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
