
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m",="lg_afiliados_imss_1000m"

="SP_b_F16x",="-0.080**",="-0.12**",="-0.12**",="-0.11**",="-0.15**",="-0.15**"
="",="(0.036)",="(0.048)",="(0.049)",="(0.046)",="(0.075)",="(0.073)"

="SP_b_F12x",="-0.067**",="-0.10**",="-0.10**",="-0.098**",="-0.12*",="-0.12*"
="",="(0.030)",="(0.048)",="(0.049)",="(0.046)",="(0.065)",="(0.063)"

="SP_b_F8x",="-0.038**",="-0.055**",="-0.055**",="-0.052**",="-0.065*",="-0.063*"
="",="(0.018)",="(0.027)",="(0.028)",="(0.026)",="(0.035)",="(0.034)"

="SP_bx",="0.027**",="0.038**",="0.039**",="0.036**",="0.049**",="0.047**"
="",="(0.011)",="(0.018)",="(0.018)",="(0.017)",="(0.024)",="(0.023)"

="SP_b_L4x",="0.056***",="0.070**",="0.071**",="0.065**",="0.092**",="0.088**"
="",="(0.020)",="(0.031)",="(0.031)",="(0.029)",="(0.041)",="(0.039)"

="SP_b_L8x",="0.066**",="0.075*",="0.075*",="0.068*",="0.11**",="0.10**"
="",="(0.026)",="(0.039)",="(0.039)",="(0.037)",="(0.049)",="(0.047)"

="SP_b_L12x",="0.060**",="0.059",="0.060",="0.052",="0.099*",="0.092*"
="",="(0.031)",="(0.044)",="(0.044)",="(0.042)",="(0.052)",="(0.051)"

="SP_b_L16",="0.070*",="0.047",="0.047",="0.039",="0.100*",="0.092*"
="",="(0.037)",="(0.051)",="(0.050)",="(0.050)",="(0.053)",="(0.052)"

="N",="24951",="24951",="24879",="24879",="24879",="24879"
="R-sq",="0.209",="0.257",="0.256",="0.259",="0.274",="0.278"
="DepVarMean",="7.60",="7.60",="7.60",="7.60",="7.60",="7.60"
="num_mun",="777",="777",="775",="775",="775",="775"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
