
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_afiliados_imss_50",="lg_afiliados_imss_50",="lg_afiliados_imss_50",="lg_afiliados_imss_50",="lg_afiliados_imss_50",="lg_afiliados_imss_50"

="SP_b_F16x",="-0.020",="-0.028*",="-0.025*",="-0.019",="-0.0053",="-0.0040"
="",="(0.013)",="(0.015)",="(0.015)",="(0.014)",="(0.010)",="(0.010)"

="SP_b_F12x",="-0.013**",="-0.016*",="-0.014*",="-0.010",="-0.0092",="-0.0074"
="",="(0.0064)",="(0.0083)",="(0.0084)",="(0.0082)",="(0.0070)",="(0.0069)"

="SP_b_F8x",="-0.0026",="-0.0034",="-0.0026",="-0.000066",="-0.00071",="0.00079"
="",="(0.0037)",="(0.0046)",="(0.0047)",="(0.0045)",="(0.0040)",="(0.0039)"

="SP_bx",="0.0063",="0.0051",="0.0049",="0.0023",="0.0057",="0.0038"
="",="(0.0042)",="(0.0047)",="(0.0047)",="(0.0049)",="(0.0043)",="(0.0044)"

="SP_b_L4x",="0.0087",="0.0046",="0.0045",="0.00092",="0.0090",="0.0069"
="",="(0.0073)",="(0.0084)",="(0.0083)",="(0.0084)",="(0.0074)",="(0.0075)"

="SP_b_L8x",="0.012",="0.0030",="0.0025",="-0.0022",="0.013",="0.010"
="",="(0.0099)",="(0.011)",="(0.011)",="(0.011)",="(0.0100)",="(0.010)"

="SP_b_L12x",="0.014",="0.000093",="-0.00062",="-0.0061",="0.016",="0.013"
="",="(0.012)",="(0.014)",="(0.014)",="(0.014)",="(0.012)",="(0.012)"

="SP_b_L16",="0.0023",="-0.019",="-0.019",="-0.025",="0.017",="0.014"
="",="(0.015)",="(0.017)",="(0.017)",="(0.017)",="(0.014)",="(0.014)"

="N",="72787",="72787",="72691",="72607",="72691",="72607"
="R-sq",="0.132",="0.152",="0.153",="0.160",="0.166",="0.174"
="DepVarMean",="5.38",="5.38",="5.38",="5.38",="5.38",="5.38"
="num_mun",="1691",="1691",="1689",="1688",="1689",="1688"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
