
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_eventuales_femenino",="lg_eventuales_femenino",="lg_eventuales_femenino",="lg_eventuales_femenino",="lg_eventuales_femenino",="lg_eventuales_femenino"

="SP_b_F16x",="-0.11**",="-0.14**",="-0.13**",="-0.13**",="-0.074*",="-0.074"
="",="(0.055)",="(0.065)",="(0.066)",="(0.066)",="(0.045)",="(0.045)"

="SP_b_F12x",="-0.054*",="-0.069*",="-0.068",="-0.066",="-0.046",="-0.045"
="",="(0.031)",="(0.041)",="(0.041)",="(0.041)",="(0.034)",="(0.034)"

="SP_b_F8x",="-0.023",="-0.031",="-0.030",="-0.029",="-0.019",="-0.018"
="",="(0.019)",="(0.023)",="(0.023)",="(0.023)",="(0.019)",="(0.019)"

="SP_bx",="0.0085",="0.013",="0.013",="0.011",="0.0043",="0.0032"
="",="(0.019)",="(0.022)",="(0.022)",="(0.022)",="(0.018)",="(0.019)"

="SP_b_L4x",="0.044",="0.049",="0.050",="0.048",="0.037",="0.036"
="",="(0.031)",="(0.039)",="(0.039)",="(0.039)",="(0.031)",="(0.031)"

="SP_b_L8x",="0.058",="0.060",="0.060",="0.058",="0.046",="0.045"
="",="(0.040)",="(0.052)",="(0.052)",="(0.052)",="(0.042)",="(0.042)"

="SP_b_L12x",="0.055",="0.053",="0.052",="0.050",="0.040",="0.039"
="",="(0.047)",="(0.061)",="(0.061)",="(0.061)",="(0.051)",="(0.051)"

="SP_b_L16",="0.036",="0.021",="0.021",="0.019",="0.024",="0.022"
="",="(0.054)",="(0.072)",="(0.071)",="(0.071)",="(0.060)",="(0.060)"

="N",="48849",="48849",="48753",="48753",="48753",="48753"
="R-sq",="0.303",="0.324",="0.323",="0.323",="0.327",="0.327"
="DepVarMean",="2.96",="2.96",="2.96",="2.96",="2.96",="2.96"
="num_mun",="1497",="1497",="1495",="1495",="1495",="1495"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
