
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_ta",="lg_masa_sal_ta",="lg_masa_sal_ta",="lg_masa_sal_ta",="lg_masa_sal_ta",="lg_masa_sal_ta"

="SP_b_F16x",="0.015",="-0.0097",="-0.0091",="-0.083**",="-0.094**",="-0.091**"
="",="(0.039)",="(0.052)",="(0.052)",="(0.037)",="(0.041)",="(0.037)"

="SP_b_F12x",="0.0059",="-0.016",="-0.015",="-0.064**",="-0.072**",="-0.069**"
="",="(0.028)",="(0.042)",="(0.042)",="(0.032)",="(0.036)",="(0.033)"

="SP_b_F8x",="0.013",="0.0035",="0.0047",="-0.027",="-0.030",="-0.029"
="",="(0.016)",="(0.023)",="(0.023)",="(0.018)",="(0.020)",="(0.018)"

="SP_bx",="-0.016",="-0.012",="-0.013",="0.021",="0.031*",="0.022"
="",="(0.017)",="(0.021)",="(0.021)",="(0.015)",="(0.017)",="(0.015)"

="SP_b_L4x",="-0.020",="-0.018",="-0.019",="0.049**",="0.059**",="0.052**"
="",="(0.028)",="(0.038)",="(0.037)",="(0.024)",="(0.028)",="(0.024)"

="SP_b_L8x",="-0.013",="-0.018",="-0.020",="0.064**",="0.097***",="0.069**"
="",="(0.034)",="(0.047)",="(0.047)",="(0.028)",="(0.032)",="(0.027)"

="SP_b_L12x",="-0.052",="-0.068",="-0.070",="0.057**",="0.085***",="0.063**"
="",="(0.039)",="(0.053)",="(0.053)",="(0.028)",="(0.033)",="(0.027)"

="SP_b_L16",="-0.100**",="-0.14**",="-0.14**",="0.058**",="0.072**",="0.065**"
="",="(0.047)",="(0.063)",="(0.063)",="(0.029)",="(0.034)",="(0.028)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.318",="0.330",="0.332",="0.581",="0.396",="0.586"
="DepVarMean",="5.09",="5.09",="5.09",="5.65",="5.09",="5.65"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
