
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_ta_1000m",="lg_masa_sal_ta_1000m",="lg_masa_sal_ta_1000m",="lg_masa_sal_ta_1000m",="lg_masa_sal_ta_1000m",="lg_masa_sal_ta_1000m"

="SP_b_F16x",="-0.17**",="-0.23**",="-0.22**",="-0.16*",="-0.20***",="-0.19**"
="",="(0.081)",="(0.091)",="(0.091)",="(0.091)",="(0.078)",="(0.075)"

="SP_b_F12x",="-0.11**",="-0.17***",="-0.16***",="-0.13**",="-0.16**",="-0.14**"
="",="(0.056)",="(0.063)",="(0.063)",="(0.061)",="(0.061)",="(0.057)"

="SP_b_F8x",="-0.058*",="-0.086**",="-0.083**",="-0.062*",="-0.080**",="-0.068**"
="",="(0.031)",="(0.034)",="(0.034)",="(0.033)",="(0.034)",="(0.032)"

="SP_bx",="0.035",="0.061*",="0.060*",="0.046",="0.056",="0.049"
="",="(0.028)",="(0.033)",="(0.033)",="(0.033)",="(0.035)",="(0.034)"

="SP_b_L4x",="0.098*",="0.15**",="0.14**",="0.12*",="0.14*",="0.12*"
="",="(0.051)",="(0.063)",="(0.064)",="(0.064)",="(0.071)",="(0.069)"

="SP_b_L8x",="0.20***",="0.26***",="0.26***",="0.23**",="0.25**",="0.23**"
="",="(0.073)",="(0.097)",="(0.097)",="(0.098)",="(0.11)",="(0.11)"

="SP_b_L12x",="0.22**",="0.29**",="0.29**",="0.26**",="0.27*",="0.25*"
="",="(0.091)",="(0.12)",="(0.12)",="(0.13)",="(0.14)",="(0.14)"

="SP_b_L16",="0.25***",="0.31**",="0.31**",="0.29**",="0.29*",="0.27*"
="",="(0.095)",="(0.14)",="(0.14)",="(0.15)",="(0.16)",="(0.16)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.043",="0.055",="0.055",="0.075",="0.058",="0.078"
="DepVarMean",="2.19",="2.19",="2.18",="2.43",="2.18",="2.43"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
