
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tec",="lg_masa_sal_tec",="lg_masa_sal_tec",="lg_masa_sal_tec",="lg_masa_sal_tec",="lg_masa_sal_tec"

="SP_b_F16x",="0.53***",="0.16",="0.17",="0.15",="-0.0077",="-0.022"
="",="(0.16)",="(0.13)",="(0.13)",="(0.13)",="(0.093)",="(0.094)"

="SP_b_F12x",="0.25***",="0.011",="0.017",="0.0069",="-0.073",="-0.087"
="",="(0.091)",="(0.079)",="(0.080)",="(0.081)",="(0.059)",="(0.059)"

="SP_b_F8x",="0.13**",="0.014",="0.015",="0.010",="-0.025",="-0.033"
="",="(0.057)",="(0.047)",="(0.047)",="(0.048)",="(0.038)",="(0.038)"

="SP_bx",="-0.18***",="-0.069",="-0.064",="-0.064",="-0.031",="-0.024"
="",="(0.065)",="(0.057)",="(0.058)",="(0.059)",="(0.054)",="(0.054)"

="SP_b_L4x",="-0.34***",="-0.14*",="-0.14",="-0.13",="-0.077",="-0.063"
="",="(0.10)",="(0.085)",="(0.085)",="(0.088)",="(0.078)",="(0.079)"

="SP_b_L8x",="-0.30***",="-0.034",="-0.035",="-0.034",="0.044",="0.062"
="",="(0.11)",="(0.085)",="(0.085)",="(0.089)",="(0.073)",="(0.075)"

="SP_b_L12x",="-0.24*",="0.060",="0.060",="0.057",="0.15*",="0.17*"
="",="(0.14)",="(0.10)",="(0.10)",="(0.11)",="(0.090)",="(0.092)"

="SP_b_L16",="-0.16",="0.13",="0.13",="0.11",="0.21*",="0.23**"
="",="(0.15)",="(0.12)",="(0.12)",="(0.13)",="(0.11)",="(0.12)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.164",="0.246",="0.251",="0.258",="0.270",="0.276"
="DepVarMean",="0.51",="0.51",="0.51",="0.57",="0.51",="0.57"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
