
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tec_50",="lg_masa_sal_tec_50",="lg_masa_sal_tec_50",="lg_masa_sal_tec_50",="lg_masa_sal_tec_50",="lg_masa_sal_tec_50"

="SP_b_F16x",="0.29*",="0.054",="0.057",="0.060",="-0.020",="-0.030"
="",="(0.16)",="(0.11)",="(0.11)",="(0.11)",="(0.082)",="(0.084)"

="SP_b_F12x",="0.18**",="0.023",="0.025",="0.028",="-0.014",="-0.020"
="",="(0.079)",="(0.062)",="(0.062)",="(0.064)",="(0.052)",="(0.053)"

="SP_b_F8x",="0.095*",="0.014",="0.015",="0.018",="0.00012",="-0.0037"
="",="(0.053)",="(0.041)",="(0.041)",="(0.042)",="(0.038)",="(0.039)"

="SP_bx",="-0.14**",="-0.070",="-0.069",="-0.077",="-0.059",="-0.058"
="",="(0.067)",="(0.057)",="(0.057)",="(0.058)",="(0.056)",="(0.056)"

="SP_b_L4x",="-0.22**",="-0.085",="-0.085",="-0.093",="-0.068",="-0.062"
="",="(0.097)",="(0.077)",="(0.077)",="(0.079)",="(0.071)",="(0.072)"

="SP_b_L8x",="-0.22**",="-0.032",="-0.034",="-0.047",="-0.016",="-0.0090"
="",="(0.10)",="(0.074)",="(0.074)",="(0.077)",="(0.061)",="(0.061)"

="SP_b_L12x",="-0.19*",="0.026",="0.025",="0.0026",="0.039",="0.045"
="",="(0.11)",="(0.089)",="(0.088)",="(0.092)",="(0.076)",="(0.078)"

="SP_b_L16",="-0.14",="0.081",="0.080",="0.044",="0.073",="0.077"
="",="(0.12)",="(0.094)",="(0.094)",="(0.097)",="(0.084)",="(0.086)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.139",="0.251",="0.252",="0.256",="0.274",="0.277"
="DepVarMean",="0.26",="0.26",="0.26",="0.29",="0.26",="0.29"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
