
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_teu_1000m",="lg_masa_sal_teu_1000m",="lg_masa_sal_teu_1000m",="lg_masa_sal_teu_1000m",="lg_masa_sal_teu_1000m",="lg_masa_sal_teu_1000m"

="SP_b_F16x",="-0.39***",="-0.23**",="-0.22*",="-0.18",="-0.21*",="-0.20*"
="",="(0.11)",="(0.12)",="(0.12)",="(0.12)",="(0.12)",="(0.12)"

="SP_b_F12x",="-0.18**",="-0.10",="-0.098",="-0.073",="-0.091",="-0.082"
="",="(0.072)",="(0.083)",="(0.084)",="(0.090)",="(0.086)",="(0.089)"

="SP_b_F8x",="-0.046",="-0.0046",="-0.0041",="0.011",="0.00054",="0.0078"
="",="(0.045)",="(0.055)",="(0.055)",="(0.059)",="(0.054)",="(0.056)"

="SP_bx",="-0.023",="-0.062",="-0.063",="-0.079",="-0.069",="-0.078"
="",="(0.041)",="(0.054)",="(0.054)",="(0.058)",="(0.055)",="(0.057)"

="SP_b_L4x",="-0.018",="-0.095",="-0.095",="-0.12",="-0.11",="-0.12"
="",="(0.087)",="(0.12)",="(0.12)",="(0.13)",="(0.12)",="(0.12)"

="SP_b_L8x",="-0.039",="-0.15",="-0.15",="-0.18",="-0.16",="-0.18"
="",="(0.11)",="(0.16)",="(0.16)",="(0.17)",="(0.16)",="(0.17)"

="SP_b_L12x",="-0.016",="-0.15",="-0.15",="-0.19",="-0.17",="-0.19"
="",="(0.12)",="(0.18)",="(0.17)",="(0.19)",="(0.18)",="(0.19)"

="SP_b_L16",="0.030",="-0.12",="-0.12",="-0.17",="-0.15",="-0.18"
="",="(0.12)",="(0.18)",="(0.18)",="(0.20)",="(0.18)",="(0.19)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.107",="0.127",="0.128",="0.134",="0.131",="0.138"
="DepVarMean",="1.03",="1.03",="1.02",="1.14",="1.02",="1.14"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
