
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_teu_50",="lg_masa_sal_teu_50",="lg_masa_sal_teu_50",="lg_masa_sal_teu_50",="lg_masa_sal_teu_50",="lg_masa_sal_teu_50"

="SP_b_F16x",="-0.039",="-0.014",="-0.011",="-0.055",="-0.036",="-0.040"
="",="(0.039)",="(0.047)",="(0.048)",="(0.046)",="(0.035)",="(0.036)"

="SP_b_F12x",="-0.0040",="0.0086",="0.010",="-0.018",="-0.015",="-0.016"
="",="(0.030)",="(0.032)",="(0.032)",="(0.029)",="(0.028)",="(0.027)"

="SP_b_F8x",="-0.00095",="0.0088",="0.011",="-0.0059",="-0.0057",="-0.0058"
="",="(0.020)",="(0.020)",="(0.020)",="(0.020)",="(0.018)",="(0.018)"

="SP_bx",="0.0058",="-0.010",="-0.012",="0.0016",="0.011",="0.0038"
="",="(0.019)",="(0.021)",="(0.020)",="(0.021)",="(0.018)",="(0.019)"

="SP_b_L4x",="0.015",="-0.022",="-0.023",="0.014",="0.020",="0.021"
="",="(0.028)",="(0.030)",="(0.030)",="(0.029)",="(0.023)",="(0.024)"

="SP_b_L8x",="0.029",="-0.032",="-0.033",="0.0089",="0.033",="0.022"
="",="(0.035)",="(0.040)",="(0.040)",="(0.036)",="(0.030)",="(0.030)"

="SP_b_L12x",="0.034",="-0.051",="-0.054",="0.010",="0.036",="0.030"
="",="(0.045)",="(0.051)",="(0.051)",="(0.043)",="(0.039)",="(0.037)"

="SP_b_L16",="-0.036",="-0.15***",="-0.16***",="-0.052",="-0.020",="-0.015"
="",="(0.053)",="(0.059)",="(0.059)",="(0.049)",="(0.042)",="(0.041)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.136",="0.152",="0.153",="0.174",="0.166",="0.177"
="DepVarMean",="2.35",="2.35",="2.34",="2.60",="2.34",="2.60"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
