
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpc",="lg_masa_sal_tpc",="lg_masa_sal_tpc",="lg_masa_sal_tpc",="lg_masa_sal_tpc",="lg_masa_sal_tpc"

="SP_b_F16x",="-0.15",="0.0087",="0.0053",="0.013",="0.014",="0.021"
="",="(0.14)",="(0.11)",="(0.11)",="(0.11)",="(0.094)",="(0.091)"

="SP_b_F12x",="-0.071",="0.0020",="-0.00030",="0.0031",="0.0024",="0.0031"
="",="(0.064)",="(0.059)",="(0.059)",="(0.062)",="(0.051)",="(0.050)"

="SP_b_F8x",="-0.027",="0.0075",="0.0050",="0.0066",="0.0087",="0.0079"
="",="(0.038)",="(0.035)",="(0.035)",="(0.037)",="(0.032)",="(0.033)"

="SP_bx",="-0.0075",="-0.034",="-0.032",="-0.036",="-0.037",="-0.037"
="",="(0.072)",="(0.068)",="(0.068)",="(0.069)",="(0.067)",="(0.069)"

="SP_b_L4x",="-0.058",="-0.11",="-0.10",="-0.11",="-0.11",="-0.11"
="",="(0.10)",="(0.086)",="(0.086)",="(0.087)",="(0.076)",="(0.077)"

="SP_b_L8x",="-0.018",="-0.076",="-0.075",="-0.078",="-0.085",="-0.079"
="",="(0.11)",="(0.093)",="(0.093)",="(0.094)",="(0.081)",="(0.081)"

="SP_b_L12x",="0.047",="-0.014",="-0.012",="-0.016",="-0.025",="-0.015"
="",="(0.11)",="(0.095)",="(0.095)",="(0.097)",="(0.086)",="(0.086)"

="SP_b_L16",="0.025",="-0.018",="-0.017",="-0.024",="-0.034",="-0.017"
="",="(0.13)",="(0.11)",="(0.11)",="(0.11)",="(0.10)",="(0.099)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.123",="0.189",="0.191",="0.193",="0.209",="0.212"
="DepVarMean",="0.90",="0.90",="0.91",="1.01",="0.91",="1.01"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
