
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpc_1000m",="lg_masa_sal_tpc_1000m",="lg_masa_sal_tpc_1000m",="lg_masa_sal_tpc_1000m",="lg_masa_sal_tpc_1000m",="lg_masa_sal_tpc_1000m"

="SP_b_F16x",="0.011",="-0.049",="-0.057",="-0.067",="0.028",="0.024"
="",="(0.071)",="(0.060)",="(0.060)",="(0.064)",="(0.029)",="(0.029)"

="SP_b_F12x",="-0.00049",="-0.027",="-0.032",="-0.037",="0.0013",="-0.0023"
="",="(0.039)",="(0.034)",="(0.034)",="(0.036)",="(0.023)",="(0.023)"

="SP_b_F8x",="-0.012",="-0.025",="-0.026",="-0.028",="-0.0085",="-0.011"
="",="(0.031)",="(0.028)",="(0.028)",="(0.029)",="(0.026)",="(0.026)"

="SP_bx",="0.034",="0.041",="0.039",="0.040",="0.026",="0.027"
="",="(0.050)",="(0.048)",="(0.049)",="(0.050)",="(0.049)",="(0.049)"

="SP_b_L4x",="0.025",="0.033",="0.032",="0.035",="0.0094",="0.013"
="",="(0.050)",="(0.049)",="(0.049)",="(0.052)",="(0.041)",="(0.042)"

="SP_b_L8x",="0.084",="0.087",="0.088",="0.093",="0.063",="0.068"
="",="(0.065)",="(0.062)",="(0.062)",="(0.066)",="(0.053)",="(0.054)"

="SP_b_L12x",="0.16*",="0.15*",="0.15*",="0.16*",="0.12*",="0.13*"
="",="(0.086)",="(0.079)",="(0.079)",="(0.084)",="(0.073)",="(0.075)"

="SP_b_L16",="0.11",="0.076",="0.077",="0.079",="0.069",="0.076"
="",="(0.084)",="(0.076)",="(0.076)",="(0.082)",="(0.074)",="(0.078)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.051",="0.108",="0.111",="0.113",="0.127",="0.128"
="DepVarMean",="0.078",="0.078",="0.078",="0.087",="0.078",="0.087"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
