
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpc_50",="lg_masa_sal_tpc_50",="lg_masa_sal_tpc_50",="lg_masa_sal_tpc_50",="lg_masa_sal_tpc_50",="lg_masa_sal_tpc_50"

="SP_b_F16x",="-0.21",="-0.078",="-0.084",="-0.080",="-0.030",="-0.024"
="",="(0.15)",="(0.11)",="(0.11)",="(0.11)",="(0.096)",="(0.093)"

="SP_b_F12x",="-0.093",="-0.044",="-0.048",="-0.046",="-0.024",="-0.023"
="",="(0.068)",="(0.059)",="(0.059)",="(0.060)",="(0.052)",="(0.052)"

="SP_b_F8x",="-0.031",="-0.0086",="-0.010",="-0.0094",="0.0037",="0.0033"
="",="(0.040)",="(0.035)",="(0.035)",="(0.036)",="(0.032)",="(0.033)"

="SP_bx",="-0.032",="-0.045",="-0.046",="-0.049",="-0.059",="-0.060"
="",="(0.064)",="(0.058)",="(0.058)",="(0.058)",="(0.055)",="(0.057)"

="SP_b_L4x",="-0.039",="-0.061",="-0.061",="-0.062",="-0.086",="-0.083"
="",="(0.089)",="(0.075)",="(0.074)",="(0.075)",="(0.072)",="(0.072)"

="SP_b_L8x",="-0.013",="-0.033",="-0.032",="-0.033",="-0.066",="-0.060"
="",="(0.100)",="(0.078)",="(0.077)",="(0.078)",="(0.072)",="(0.073)"

="SP_b_L12x",="-0.0089",="-0.021",="-0.020",="-0.022",="-0.061",="-0.053"
="",="(0.11)",="(0.083)",="(0.083)",="(0.084)",="(0.076)",="(0.076)"

="SP_b_L16",="-0.018",="-0.0048",="-0.0028",="-0.0062",="-0.052",="-0.037"
="",="(0.12)",="(0.091)",="(0.090)",="(0.090)",="(0.088)",="(0.085)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.105",="0.186",="0.187",="0.189",="0.212",="0.214"
="DepVarMean",="0.80",="0.80",="0.80",="0.89",="0.80",="0.89"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
