
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpu",="lg_masa_sal_tpu",="lg_masa_sal_tpu",="lg_masa_sal_tpu",="lg_masa_sal_tpu",="lg_masa_sal_tpu"

="SP_b_F16x",="0.022",="-0.0055",="-0.0063",="-0.066",="-0.092**",="-0.083**"
="",="(0.043)",="(0.053)",="(0.053)",="(0.041)",="(0.042)",="(0.040)"

="SP_b_F12x",="0.0060",="-0.015",="-0.015",="-0.055",="-0.071*",="-0.065*"
="",="(0.031)",="(0.043)",="(0.043)",="(0.035)",="(0.038)",="(0.035)"

="SP_b_F8x",="0.0097",="0.00027",="0.00100",="-0.026",="-0.032",="-0.031"
="",="(0.018)",="(0.024)",="(0.024)",="(0.020)",="(0.021)",="(0.020)"

="SP_bx",="-0.014",="-0.011",="-0.012",="0.021",="0.030*",="0.026"
="",="(0.017)",="(0.021)",="(0.021)",="(0.016)",="(0.017)",="(0.016)"

="SP_b_L4x",="-0.021",="-0.019",="-0.021",="0.037",="0.055*",="0.048*"
="",="(0.029)",="(0.038)",="(0.037)",="(0.027)",="(0.029)",="(0.026)"

="SP_b_L8x",="-0.012",="-0.019",="-0.021",="0.051*",="0.091***",="0.068**"
="",="(0.036)",="(0.046)",="(0.046)",="(0.031)",="(0.033)",="(0.030)"

="SP_b_L12x",="-0.044",="-0.064",="-0.066",="0.043",="0.083**",="0.065**"
="",="(0.040)",="(0.052)",="(0.051)",="(0.032)",="(0.034)",="(0.031)"

="SP_b_L16",="-0.089*",="-0.14**",="-0.14**",="0.032",="0.066*",="0.063*"
="",="(0.047)",="(0.062)",="(0.061)",="(0.034)",="(0.037)",="(0.033)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.287",="0.308",="0.310",="0.423",="0.365",="0.429"
="DepVarMean",="4.86",="4.86",="4.86",="5.39",="4.86",="5.39"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
