
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpu_1000m",="lg_masa_sal_tpu_1000m",="lg_masa_sal_tpu_1000m",="lg_masa_sal_tpu_1000m",="lg_masa_sal_tpu_1000m",="lg_masa_sal_tpu_1000m"

="SP_b_F16x",="-0.11",="-0.16*",="-0.16*",="-0.10",="-0.17**",="-0.16**"
="",="(0.077)",="(0.090)",="(0.090)",="(0.089)",="(0.076)",="(0.074)"

="SP_b_F12x",="-0.063",="-0.12*",="-0.11*",="-0.080",="-0.12**",="-0.10*"
="",="(0.050)",="(0.061)",="(0.062)",="(0.059)",="(0.058)",="(0.055)"

="SP_b_F8x",="-0.035",="-0.063**",="-0.060*",="-0.043",="-0.064**",="-0.054*"
="",="(0.026)",="(0.031)",="(0.032)",="(0.030)",="(0.031)",="(0.029)"

="SP_bx",="0.017",="0.042",="0.041",="0.033",="0.045",="0.041"
="",="(0.026)",="(0.031)",="(0.031)",="(0.031)",="(0.033)",="(0.032)"

="SP_b_L4x",="0.069",="0.11*",="0.11*",="0.095",="0.12*",="0.11*"
="",="(0.047)",="(0.059)",="(0.060)",="(0.059)",="(0.066)",="(0.065)"

="SP_b_L8x",="0.16**",="0.23**",="0.22**",="0.20**",="0.23**",="0.22**"
="",="(0.072)",="(0.096)",="(0.097)",="(0.097)",="(0.11)",="(0.11)"

="SP_b_L12x",="0.16*",="0.23*",="0.23*",="0.21*",="0.23*",="0.22"
="",="(0.089)",="(0.12)",="(0.12)",="(0.13)",="(0.14)",="(0.14)"

="SP_b_L16",="0.16*",="0.23",="0.23",="0.22",="0.22",="0.21"
="",="(0.093)",="(0.14)",="(0.14)",="(0.15)",="(0.16)",="(0.16)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.044",="0.060",="0.060",="0.079",="0.065",="0.082"
="DepVarMean",="2.07",="2.07",="2.07",="2.30",="2.07",="2.30"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
