
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_masa_sal_tpu_250",="lg_masa_sal_tpu_250",="lg_masa_sal_tpu_250",="lg_masa_sal_tpu_250",="lg_masa_sal_tpu_250",="lg_masa_sal_tpu_250"

="SP_b_F16x",="-0.076",="-0.15**",="-0.15**",="-0.12*",="-0.091",="-0.081"
="",="(0.058)",="(0.065)",="(0.066)",="(0.069)",="(0.057)",="(0.058)"

="SP_b_F12x",="-0.025",="-0.080*",="-0.078*",="-0.060",="-0.054",="-0.044"
="",="(0.034)",="(0.043)",="(0.043)",="(0.045)",="(0.043)",="(0.043)"

="SP_b_F8x",="-0.010",="-0.038*",="-0.038*",="-0.027",="-0.027",="-0.020"
="",="(0.019)",="(0.023)",="(0.023)",="(0.024)",="(0.023)",="(0.023)"

="SP_bx",="-0.010",="0.013",="0.014",="0.0069",="0.0062",="0.0015"
="",="(0.020)",="(0.022)",="(0.022)",="(0.024)",="(0.023)",="(0.023)"

="SP_b_L4x",="0.0031",="0.045",="0.046",="0.033",="0.032",="0.024"
="",="(0.034)",="(0.038)",="(0.038)",="(0.041)",="(0.039)",="(0.040)"

="SP_b_L8x",="0.019",="0.072",="0.072",="0.054",="0.058",="0.045"
="",="(0.045)",="(0.052)",="(0.053)",="(0.056)",="(0.054)",="(0.055)"

="SP_b_L12x",="0.027",="0.084",="0.084",="0.066",="0.073",="0.059"
="",="(0.052)",="(0.062)",="(0.062)",="(0.066)",="(0.064)",="(0.066)"

="SP_b_L16",="0.019",="0.060",="0.060",="0.047",="0.063",="0.052"
="",="(0.056)",="(0.070)",="(0.070)",="(0.074)",="(0.073)",="(0.075)"

="N",="80857",="80857",="80761",="72719",="80761",="72719"
="R-sq",="0.073",="0.085",="0.085",="0.093",="0.089",="0.096"
="DepVarMean",="3.12",="3.12",="3.12",="3.46",="3.12",="3.46"
="num_mun",="1914",="1914",="1912",="1689",="1912",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
