
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_permanentes_femenino",="lg_permanentes_femenino",="lg_permanentes_femenino",="lg_permanentes_femenino",="lg_permanentes_femenino",="lg_permanentes_femenino"

="SP_b_F16x",="-0.049***",="-0.079***",="-0.079***",="-0.068***",="-0.027",="-0.024"
="",="(0.018)",="(0.021)",="(0.021)",="(0.020)",="(0.017)",="(0.017)"

="SP_b_F12x",="-0.026***",="-0.038***",="-0.038***",="-0.033***",="-0.018",="-0.016"
="",="(0.0097)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.012)"

="SP_b_F8x",="-0.015***",="-0.020***",="-0.020***",="-0.018***",="-0.010",="-0.0098"
="",="(0.0055)",="(0.0066)",="(0.0066)",="(0.0066)",="(0.0063)",="(0.0064)"

="SP_bx",="0.0084",="0.0099",="0.010",="0.012*",="0.0031",="0.0065"
="",="(0.0052)",="(0.0064)",="(0.0065)",="(0.0067)",="(0.0060)",="(0.0063)"

="SP_b_L4x",="0.021**",="0.021*",="0.021*",="0.018",="0.010",="0.010"
="",="(0.0095)",="(0.012)",="(0.012)",="(0.012)",="(0.011)",="(0.011)"

="SP_b_L8x",="0.029**",="0.023",="0.023",="0.019",="0.013",="0.013"
="",="(0.013)",="(0.016)",="(0.016)",="(0.016)",="(0.015)",="(0.015)"

="SP_b_L12x",="0.032**",="0.018",="0.018",="0.016",="0.011",="0.011"
="",="(0.016)",="(0.020)",="(0.020)",="(0.021)",="(0.018)",="(0.019)"

="SP_b_L16",="0.041**",="0.011",="0.011",="0.011",="0.021",="0.022"
="",="(0.019)",="(0.025)",="(0.025)",="(0.025)",="(0.021)",="(0.022)"

="N",="69874",="69874",="69778",="69764",="69778",="69764"
="R-sq",="0.233",="0.255",="0.255",="0.273",="0.264",="0.282"
="DepVarMean",="4.73",="4.73",="4.72",="4.72",="4.72",="4.72"
="num_mun",="1631",="1631",="1629",="1629",="1629",="1629"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
