
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_ta_femenino",="lg_ta_femenino",="lg_ta_femenino",="lg_ta_femenino",="lg_ta_femenino",="lg_ta_femenino"

="SP_b_F16x",="-0.057***",="-0.085***",="-0.084***",="-0.072***",="-0.034**",="-0.031*"
="",="(0.018)",="(0.021)",="(0.020)",="(0.020)",="(0.017)",="(0.017)"

="SP_b_F12x",="-0.030***",="-0.044***",="-0.043***",="-0.037***",="-0.024**",="-0.022*"
="",="(0.0094)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.012)"

="SP_b_F8x",="-0.015***",="-0.021***",="-0.021***",="-0.018***",="-0.011*",="-0.011*"
="",="(0.0052)",="(0.0065)",="(0.0065)",="(0.0065)",="(0.0062)",="(0.0063)"

="SP_bx",="0.013**",="0.016**",="0.016**",="0.018***",="0.0098",="0.013**"
="",="(0.0053)",="(0.0065)",="(0.0065)",="(0.0067)",="(0.0060)",="(0.0062)"

="SP_b_L4x",="0.029***",="0.032***",="0.032***",="0.029**",="0.023**",="0.023**"
="",="(0.0095)",="(0.012)",="(0.012)",="(0.012)",="(0.011)",="(0.011)"

="SP_b_L8x",="0.036***",="0.035**",="0.035**",="0.030*",="0.027*",="0.026"
="",="(0.014)",="(0.017)",="(0.017)",="(0.017)",="(0.015)",="(0.016)"

="SP_b_L12x",="0.039**",="0.032",="0.032",="0.029",="0.027",="0.027"
="",="(0.017)",="(0.021)",="(0.021)",="(0.021)",="(0.019)",="(0.019)"

="SP_b_L16",="0.047**",="0.028",="0.027",="0.026",="0.039*",="0.040*"
="",="(0.020)",="(0.026)",="(0.026)",="(0.026)",="(0.022)",="(0.023)"

="N",="70359",="70359",="70263",="70249",="70263",="70249"
="R-sq",="0.264",="0.282",="0.281",="0.297",="0.289",="0.304"
="DepVarMean",="4.79",="4.79",="4.79",="4.79",="4.79",="4.79"
="num_mun",="1651",="1651",="1649",="1649",="1649",="1649"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
