
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_ta_sal",="lg_ta_sal",="lg_ta_sal",="lg_ta_sal",="lg_ta_sal",="lg_ta_sal"

="SP_b_F16x",="-0.045***",="-0.080***",="-0.079***",="-0.061***",="-0.048***",="-0.044***"
="",="(0.016)",="(0.019)",="(0.019)",="(0.018)",="(0.015)",="(0.015)"

="SP_b_F12x",="-0.028***",="-0.049***",="-0.048***",="-0.037***",="-0.038***",="-0.033***"
="",="(0.0090)",="(0.012)",="(0.012)",="(0.011)",="(0.011)",="(0.011)"

="SP_b_F8x",="-0.012**",="-0.021***",="-0.020***",="-0.014**",="-0.016**",="-0.012**"
="",="(0.0052)",="(0.0065)",="(0.0065)",="(0.0060)",="(0.0063)",="(0.0057)"

="SP_bx",="0.016***",="0.022***",="0.022***",="0.016***",="0.021***",="0.017***"
="",="(0.0050)",="(0.0060)",="(0.0060)",="(0.0061)",="(0.0056)",="(0.0057)"

="SP_b_L4x",="0.028***",="0.037***",="0.036***",="0.027**",="0.037***",="0.032***"
="",="(0.0089)",="(0.011)",="(0.011)",="(0.011)",="(0.0099)",="(0.0099)"

="SP_b_L8x",="0.041***",="0.048***",="0.047***",="0.035**",="0.053***",="0.046***"
="",="(0.012)",="(0.015)",="(0.015)",="(0.015)",="(0.013)",="(0.014)"

="SP_b_L12x",="0.044***",="0.047**",="0.046**",="0.031*",="0.057***",="0.048***"
="",="(0.015)",="(0.019)",="(0.019)",="(0.019)",="(0.017)",="(0.017)"

="SP_b_L16",="0.044**",="0.034",="0.033",="0.019",="0.064***",="0.054***"
="",="(0.018)",="(0.023)",="(0.023)",="(0.023)",="(0.020)",="(0.020)"

="N",="72863",="72863",="72767",="72719",="72767",="72719"
="R-sq",="0.163",="0.175",="0.174",="0.201",="0.184",="0.212"
="DepVarMean",="5.99",="5.99",="5.99",="5.99",="5.99",="5.99"
="num_mun",="1692",="1692",="1690",="1689",="1690",="1689"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
