
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_ta_sal_1000m",="lg_ta_sal_1000m",="lg_ta_sal_1000m",="lg_ta_sal_1000m",="lg_ta_sal_1000m",="lg_ta_sal_1000m"

="SP_b_F16x",="-0.086**",="-0.12***",="-0.12**",="-0.12***",="-0.16**",="-0.16**"
="",="(0.036)",="(0.047)",="(0.048)",="(0.046)",="(0.075)",="(0.074)"

="SP_b_F12x",="-0.069**",="-0.10**",="-0.10**",="-0.10**",="-0.12*",="-0.12**"
="",="(0.030)",="(0.048)",="(0.049)",="(0.047)",="(0.065)",="(0.063)"

="SP_b_F8x",="-0.040**",="-0.056**",="-0.057**",="-0.055**",="-0.066*",="-0.065*"
="",="(0.018)",="(0.027)",="(0.027)",="(0.026)",="(0.035)",="(0.034)"

="SP_bx",="0.028**",="0.038**",="0.039**",="0.037**",="0.049**",="0.047**"
="",="(0.011)",="(0.019)",="(0.018)",="(0.018)",="(0.024)",="(0.023)"

="SP_b_L4x",="0.058***",="0.071**",="0.072**",="0.069**",="0.092**",="0.090**"
="",="(0.020)",="(0.032)",="(0.031)",="(0.029)",="(0.041)",="(0.039)"

="SP_b_L8x",="0.069***",="0.077*",="0.077**",="0.074**",="0.11**",="0.11**"
="",="(0.026)",="(0.039)",="(0.039)",="(0.037)",="(0.049)",="(0.047)"

="SP_b_L12x",="0.063**",="0.060",="0.060",="0.057",="0.098*",="0.095*"
="",="(0.031)",="(0.044)",="(0.044)",="(0.042)",="(0.053)",="(0.051)"

="SP_b_L16",="0.074**",="0.049",="0.048",="0.045",="0.098*",="0.095*"
="",="(0.037)",="(0.051)",="(0.051)",="(0.050)",="(0.054)",="(0.052)"

="N",="24621",="24621",="24549",="24549",="24549",="24549"
="R-sq",="0.202",="0.249",="0.248",="0.250",="0.265",="0.267"
="DepVarMean",="7.54",="7.54",="7.53",="7.53",="7.53",="7.53"
="num_mun",="771",="771",="769",="769",="769",="769"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
