
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_ta_sal_50",="lg_ta_sal_50",="lg_ta_sal_50",="lg_ta_sal_50",="lg_ta_sal_50",="lg_ta_sal_50"

="SP_b_F16x",="-0.021",="-0.025*",="-0.023",="-0.017",="-0.0054",="-0.0040"
="",="(0.013)",="(0.014)",="(0.015)",="(0.014)",="(0.010)",="(0.010)"

="SP_b_F12x",="-0.013**",="-0.014*",="-0.013",="-0.0089",="-0.0090",="-0.0071"
="",="(0.0064)",="(0.0082)",="(0.0083)",="(0.0081)",="(0.0070)",="(0.0069)"

="SP_b_F8x",="-0.0027",="-0.0025",="-0.0019",="0.00050",="-0.00064",="0.00083"
="",="(0.0037)",="(0.0046)",="(0.0046)",="(0.0045)",="(0.0040)",="(0.0039)"

="SP_bx",="0.0062",="0.0041",="0.0041",="0.0016",="0.0054",="0.0037"
="",="(0.0042)",="(0.0047)",="(0.0047)",="(0.0048)",="(0.0043)",="(0.0044)"

="SP_b_L4x",="0.0089",="0.0033",="0.0034",="-0.000079",="0.0090",="0.0069"
="",="(0.0073)",="(0.0083)",="(0.0083)",="(0.0083)",="(0.0074)",="(0.0074)"

="SP_b_L8x",="0.012",="0.0012",="0.00097",="-0.0035",="0.013",="0.010"
="",="(0.0099)",="(0.011)",="(0.011)",="(0.011)",="(0.0099)",="(0.010)"

="SP_b_L12x",="0.014",="-0.0027",="-0.0030",="-0.0083",="0.016",="0.012"
="",="(0.012)",="(0.014)",="(0.014)",="(0.014)",="(0.012)",="(0.012)"

="SP_b_L16",="0.00079",="-0.023",="-0.022",="-0.028*",="0.016",="0.013"
="",="(0.015)",="(0.016)",="(0.017)",="(0.017)",="(0.014)",="(0.014)"

="N",="72741",="72741",="72645",="72597",="72645",="72597"
="R-sq",="0.140",="0.158",="0.159",="0.165",="0.172",="0.179"
="DepVarMean",="5.36",="5.36",="5.36",="5.36",="5.36",="5.36"
="num_mun",="1691",="1691",="1689",="1688",="1689",="1688"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
