
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tec_sal",="lg_tec_sal",="lg_tec_sal",="lg_tec_sal",="lg_tec_sal",="lg_tec_sal"

="SP_b_F16x",="0.52**",="0.23",="0.24",="0.16",="-0.11",="-0.15"
="",="(0.24)",="(0.23)",="(0.22)",="(0.22)",="(0.21)",="(0.22)"

="SP_b_F12x",="0.047",="-0.16",="-0.15",="-0.21",="-0.33**",="-0.37**"
="",="(0.15)",="(0.17)",="(0.17)",="(0.17)",="(0.15)",="(0.15)"

="SP_b_F8x",="0.086",="-0.017",="-0.018",="-0.050",="-0.11",="-0.14"
="",="(0.088)",="(0.10)",="(0.10)",="(0.10)",="(0.095)",="(0.095)"

="SP_bx",="-0.30***",="-0.14",="-0.13",="-0.12",="-0.058",="-0.048"
="",="(0.099)",="(0.096)",="(0.095)",="(0.095)",="(0.089)",="(0.091)"

="SP_b_L4x",="-0.47***",="-0.20",="-0.19",="-0.15",="-0.047",="-0.023"
="",="(0.14)",="(0.15)",="(0.15)",="(0.14)",="(0.14)",="(0.14)"

="SP_b_L8x",="-0.48***",="-0.10",="-0.095",="-0.047",="0.10",="0.14"
="",="(0.18)",="(0.18)",="(0.18)",="(0.17)",="(0.17)",="(0.17)"

="SP_b_L12x",="-0.50**",="-0.047",="-0.037",="0.023",="0.19",="0.23"
="",="(0.21)",="(0.21)",="(0.21)",="(0.20)",="(0.20)",="(0.20)"

="SP_b_L16",="-0.47*",="0.062",="0.074",="0.14",="0.31",="0.36"
="",="(0.25)",="(0.24)",="(0.24)",="(0.23)",="(0.23)",="(0.23)"

="N",="22861",="22861",="22835",="22835",="22835",="22835"
="R-sq",="0.299",="0.376",="0.376",="0.390",="0.397",="0.411"
="DepVarMean",="2.82",="2.82",="2.82",="2.82",="2.82",="2.82"
="num_mun",="897",="897",="895",="895",="895",="895"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
