
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tec_sal_1000m",="lg_tec_sal_1000m",="lg_tec_sal_1000m",="lg_tec_sal_1000m",="lg_tec_sal_1000m",="lg_tec_sal_1000m"

="SP_b_F16x",="0.032",="0.0021",="-0.0039",="-0.17",="0.52*",="0.33"
="",="(0.32)",="(0.30)",="(0.31)",="(0.28)",="(0.31)",="(0.29)"

="SP_b_F12x",="-0.035",="0.047",="0.050",="-0.11",="0.29",="0.12"
="",="(0.23)",="(0.23)",="(0.24)",="(0.21)",="(0.24)",="(0.22)"

="SP_b_F8x",="-0.11",="0.092",="0.084",="0.0065",="0.19",="0.11"
="",="(0.29)",="(0.16)",="(0.16)",="(0.15)",="(0.16)",="(0.15)"

="SP_bx",="-0.21",="-0.20",="-0.19",="-0.19",="-0.33",="-0.30"
="",="(0.22)",="(0.26)",="(0.26)",="(0.25)",="(0.27)",="(0.26)"

="SP_b_L4x",="-0.17",="-0.047",="-0.044",="0.049",="-0.34",="-0.21"
="",="(0.27)",="(0.31)",="(0.31)",="(0.30)",="(0.31)",="(0.29)"

="SP_b_L8x",="-0.031",="0.28",="0.28",="0.37",="-0.10",="0.050"
="",="(0.26)",="(0.32)",="(0.32)",="(0.29)",="(0.32)",="(0.30)"

="SP_b_L12x",="-0.0020",="0.40",="0.40",="0.51",="-0.051",="0.13"
="",="(0.29)",="(0.39)",="(0.39)",="(0.36)",="(0.38)",="(0.36)"

="SP_b_L16",="0.0026",="0.50",="0.52",="0.65",="0.021",="0.24"
="",="(0.33)",="(0.48)",="(0.48)",="(0.44)",="(0.46)",="(0.42)"

="N",="2500",="2500",="2500",="2500",="2500",="2500"
="R-sq",="0.294",="0.424",="0.425",="0.492",="0.454",="0.515"
="DepVarMean",="6.28",="6.28",="6.28",="6.28",="6.28",="6.28"
="num_mun",="158",="158",="158",="158",="158",="158"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
