
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg_total_d",="lg_total_d",="lg_total_d",="lg_total_d",="lg_total_d",="lg_total_d",="lg_total_d",="lg_total_d"

="SP_b_F16x",="0.0048",="0.0057",="0.0057",="0.010",="0.0083",="0.0032",="0.0058",="0.010"
="",="(0.012)",="(0.013)",="(0.013)",="(0.011)",="(0.012)",="(0.012)",="(0.013)",="(0.011)"

="SP_b_F12x",="-0.0034",="-0.0031",="-0.0033",="-0.0021",="-0.0010",="-0.0053",="-0.0033",="-0.0022"
="",="(0.0067)",="(0.0084)",="(0.0086)",="(0.0074)",="(0.0065)",="(0.0079)",="(0.0085)",="(0.0074)"

="SP_b_F8x",="-0.0022",="-0.0022",="-0.0026",="-0.0019",="-0.0012",="-0.0035",="-0.0025",="-0.0019"
="",="(0.0044)",="(0.0050)",="(0.0051)",="(0.0046)",="(0.0042)",="(0.0047)",="(0.0051)",="(0.0046)"

="SP_bx",="-0.012***",="-0.012**",="-0.012**",="-0.013***",="-0.012***",="-0.0098**",="-0.012**",="-0.012***"
="",="(0.0040)",="(0.0047)",="(0.0049)",="(0.0047)",="(0.0036)",="(0.0043)",="(0.0048)",="(0.0047)"

="SP_b_L4x",="-0.0037",="-0.0034",="-0.0039",="-0.0041",="-0.0052",="-0.00040",="-0.0036",="-0.0038"
="",="(0.0059)",="(0.0077)",="(0.0080)",="(0.0072)",="(0.0057)",="(0.0071)",="(0.0079)",="(0.0072)"

="SP_b_L8x",="-0.020**",="-0.019*",="-0.019*",="-0.019*",="-0.021***",="-0.013",="-0.018",="-0.018*"
="",="(0.0080)",="(0.011)",="(0.011)",="(0.0100)",="(0.0076)",="(0.0098)",="(0.011)",="(0.0099)"

="SP_b_L12x",="-0.016",="-0.014",="-0.014",="-0.013",="-0.020**",="-0.0093",="-0.013",="-0.013"
="",="(0.010)",="(0.014)",="(0.014)",="(0.013)",="(0.0098)",="(0.013)",="(0.014)",="(0.013)"

="SP_b_L16",="-0.034***",="-0.034*",="-0.033*",="-0.030",="-0.039***",="-0.029*",="-0.032*",="-0.029"
="",="(0.013)",="(0.017)",="(0.018)",="(0.018)",="(0.012)",="(0.016)",="(0.018)",="(0.018)"

="N",="80857",="80857",="73944",="73944",="93726",="93726",="79612",="79612"
="R-sq",="0.317",="0.370",="0.378",="0.380",="0.308",="0.362",="0.369",="0.370"
="DepVarMean",="2.86",="2.86",="2.99",="2.99",="2.71",="2.71",="2.91",="2.91"
="num_mun",="1914",="1914",="1699",="1699",="2427",="2427",="2201",="2201"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
