
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist",="lg_total_d_asist"

="SP_b_F16x",="-0.0051",="0.011",="0.0072",="0.0099",="-0.0011",="0.0080",="0.0077",="0.0091"
="",="(0.013)",="(0.014)",="(0.014)",="(0.012)",="(0.012)",="(0.013)",="(0.014)",="(0.012)"

="SP_b_F12x",="-0.0072",="-0.00014",="-0.0022",="-0.0025",="-0.0054",="-0.0024",="-0.0018",="-0.0026"
="",="(0.0082)",="(0.0090)",="(0.0093)",="(0.0084)",="(0.0080)",="(0.0086)",="(0.0092)",="(0.0084)"

="SP_b_F8x",="-0.0045",="-0.00099",="-0.0019",="-0.0020",="-0.0046",="-0.0032",="-0.0018",="-0.0021"
="",="(0.0054)",="(0.0056)",="(0.0057)",="(0.0053)",="(0.0052)",="(0.0055)",="(0.0056)",="(0.0053)"

="SP_bx",="-0.011**",="-0.013**",="-0.012**",="-0.011**",="-0.011**",="-0.011**",="-0.011**",="-0.011*"
="",="(0.0047)",="(0.0053)",="(0.0054)",="(0.0054)",="(0.0043)",="(0.0050)",="(0.0054)",="(0.0054)"

="SP_b_L4x",="-0.00089",="-0.0058",="-0.0027",="-0.00072",="-0.0030",="-0.0039",="-0.0039",="-0.0016"
="",="(0.0062)",="(0.0085)",="(0.0087)",="(0.0084)",="(0.0060)",="(0.0079)",="(0.0086)",="(0.0084)"

="SP_b_L8x",="-0.017*",="-0.023*",="-0.017",="-0.014",="-0.018**",="-0.018*",="-0.018",="-0.014"
="",="(0.0088)",="(0.012)",="(0.012)",="(0.011)",="(0.0083)",="(0.011)",="(0.012)",="(0.011)"

="SP_b_L12x",="-0.017",="-0.023",="-0.017",="-0.012",="-0.020**",="-0.019",="-0.018",="-0.013"
="",="(0.011)",="(0.014)",="(0.015)",="(0.014)",="(0.010)",="(0.013)",="(0.015)",="(0.014)"

="SP_b_L16",="-0.042***",="-0.045**",="-0.036*",="-0.025",="-0.045***",="-0.039**",="-0.037**",="-0.026"
="",="(0.013)",="(0.018)",="(0.019)",="(0.019)",="(0.013)",="(0.017)",="(0.018)",="(0.019)"

="N",="80857",="80857",="73944",="73944",="93726",="93726",="79612",="79612"
="R-sq",="0.209",="0.245",="0.254",="0.256",="0.203",="0.238",="0.244",="0.246"
="DepVarMean",="2.52",="2.52",="2.66",="2.66",="2.34",="2.34",="2.56",="2.56"
="num_mun",="1914",="1914",="1699",="1699",="2427",="2427",="2201",="2201"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
