
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss",="lg_total_d_imss"

="SP_b_F16x",="-0.0039",="-0.0043",="-0.0050",="0.0083",="-0.0011",="-0.0061",="-0.0051",="0.0079"
="",="(0.014)",="(0.016)",="(0.016)",="(0.015)",="(0.013)",="(0.015)",="(0.016)",="(0.015)"

="SP_b_F12x",="-0.0059",="-0.0056",="-0.0062",="-0.0020",="-0.0050",="-0.0069",="-0.0063",="-0.0022"
="",="(0.0086)",="(0.010)",="(0.011)",="(0.010)",="(0.0080)",="(0.0096)",="(0.010)",="(0.010)"

="SP_b_F8x",="-0.0083",="-0.0084",="-0.0087",="-0.0064",="-0.0087",="-0.0098",="-0.0085",="-0.0063"
="",="(0.0063)",="(0.0069)",="(0.0070)",="(0.0068)",="(0.0058)",="(0.0065)",="(0.0070)",="(0.0068)"

="SP_bx",="-0.0045",="-0.0043",="-0.0047",="-0.0061",="-0.0058",="-0.0047",="-0.0049",="-0.0062"
="",="(0.0066)",="(0.0072)",="(0.0074)",="(0.0072)",="(0.0060)",="(0.0065)",="(0.0073)",="(0.0072)"

="SP_b_L4x",="-0.012",="-0.011",="-0.012",="-0.013",="-0.013*",="-0.011",="-0.012",="-0.013"
="",="(0.0078)",="(0.0092)",="(0.0095)",="(0.0094)",="(0.0073)",="(0.0085)",="(0.0094)",="(0.0093)"

="SP_b_L8x",="-0.017*",="-0.016",="-0.016",="-0.017",="-0.018*",="-0.015",="-0.016",="-0.017"
="",="(0.010)",="(0.012)",="(0.012)",="(0.012)",="(0.0096)",="(0.011)",="(0.012)",="(0.012)"

="SP_b_L12x",="-0.013",="-0.012",="-0.012",="-0.012",="-0.012",="-0.0088",="-0.012",="-0.012"
="",="(0.012)",="(0.015)",="(0.015)",="(0.016)",="(0.011)",="(0.014)",="(0.015)",="(0.015)"

="SP_b_L16",="-0.029**",="-0.029",="-0.028",="-0.023",="-0.030**",="-0.028",="-0.029",="-0.024"
="",="(0.015)",="(0.018)",="(0.019)",="(0.020)",="(0.014)",="(0.017)",="(0.019)",="(0.019)"

="N",="80857",="80857",="73944",="73944",="93726",="93726",="79612",="79612"
="R-sq",="0.117",="0.125",="0.128",="0.130",="0.117",="0.125",="0.125",="0.127"
="DepVarMean",="1.39",="1.39",="1.51",="1.51",="1.23",="1.23",="1.42",="1.42"
="num_mun",="1914",="1914",="1699",="1699",="2427",="2427",="2201",="2201"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
