
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp",="lg_total_d_imss_cov_sp"

="SP_b_F16x",="-0.017",="-0.014",="-0.015",="-0.0048",="-0.015",="-0.016",="-0.015",="-0.0049"
="",="(0.015)",="(0.016)",="(0.016)",="(0.016)",="(0.014)",="(0.015)",="(0.016)",="(0.016)"

="SP_b_F12x",="-0.014",="-0.012",="-0.013",="-0.0099",="-0.014",="-0.014",="-0.013",="-0.0099"
="",="(0.0093)",="(0.011)",="(0.011)",="(0.011)",="(0.0086)",="(0.010)",="(0.011)",="(0.011)"

="SP_b_F8x",="-0.012",="-0.011",="-0.011",="-0.0094",="-0.011*",="-0.012",="-0.011",="-0.0094"
="",="(0.0074)",="(0.0078)",="(0.0078)",="(0.0078)",="(0.0068)",="(0.0072)",="(0.0078)",="(0.0077)"

="SP_bx",="-0.0064",="-0.0070",="-0.0075",="-0.0085",="-0.0064",="-0.0060",="-0.0078",="-0.0088"
="",="(0.0073)",="(0.0078)",="(0.0080)",="(0.0081)",="(0.0068)",="(0.0072)",="(0.0079)",="(0.0080)"

="SP_b_L4x",="-0.0017",="-0.0027",="-0.0021",="-0.0032",="-0.0023",="-0.0017",="-0.0022",="-0.0034"
="",="(0.0088)",="(0.0099)",="(0.010)",="(0.011)",="(0.0080)",="(0.0091)",="(0.010)",="(0.011)"

="SP_b_L8x",="-0.010",="-0.011",="-0.0100",="-0.011",="-0.011",="-0.010",="-0.0099",="-0.011"
="",="(0.011)",="(0.012)",="(0.013)",="(0.014)",="(0.010)",="(0.012)",="(0.013)",="(0.013)"

="SP_b_L12x",="-0.0056",="-0.0061",="-0.0051",="-0.0047",="-0.0039",="-0.0027",="-0.0050",="-0.0049"
="",="(0.013)",="(0.016)",="(0.017)",="(0.017)",="(0.012)",="(0.015)",="(0.016)",="(0.017)"

="SP_b_L16",="-0.018",="-0.019",="-0.017",="-0.012",="-0.017",="-0.016",="-0.017",="-0.013"
="",="(0.016)",="(0.020)",="(0.021)",="(0.021)",="(0.015)",="(0.018)",="(0.020)",="(0.021)"

="N",="80857",="80857",="73944",="73944",="93726",="93726",="79612",="79612"
="R-sq",="0.131",="0.138",="0.140",="0.142",="0.135",="0.142",="0.138",="0.140"
="DepVarMean",="1.16",="1.16",="1.25",="1.25",="1.02",="1.02",="1.18",="1.18"
="num_mun",="1914",="1914",="1699",="1699",="2427",="2427",="2201",="2201"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
