
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist",="lg_total_d_noasist"

="SP_b_F16x",="-0.048",="0.0048",="0.0031",="0.058*",="-0.011",="0.0081",="0.0015",="0.056"
="",="(0.062)",="(0.036)",="(0.037)",="(0.035)",="(0.057)",="(0.034)",="(0.037)",="(0.035)"

="SP_b_F12x",="-0.044",="0.015",="0.014",="0.040",="-0.017",="0.020",="0.013",="0.039"
="",="(0.050)",="(0.041)",="(0.041)",="(0.041)",="(0.047)",="(0.036)",="(0.041)",="(0.041)"

="SP_b_F8x",="-0.038",="-0.0077",="-0.0080",="0.0040",="-0.020",="-0.0012",="-0.0082",="0.0036"
="",="(0.028)",="(0.023)",="(0.023)",="(0.023)",="(0.027)",="(0.021)",="(0.023)",="(0.023)"

="SP_bx",="0.00090",="-0.028",="-0.030",="-0.040*",="-0.0043",="-0.022",="-0.030",="-0.040*"
="",="(0.019)",="(0.021)",="(0.022)",="(0.021)",="(0.017)",="(0.019)",="(0.021)",="(0.021)"

="SP_b_L4x",="0.025",="-0.029",="-0.031",="-0.049*",="0.017",="-0.017",="-0.028",="-0.046*"
="",="(0.025)",="(0.028)",="(0.029)",="(0.028)",="(0.022)",="(0.026)",="(0.029)",="(0.028)"

="SP_b_L8x",="0.041",="-0.033",="-0.034",="-0.057*",="0.025",="-0.022",="-0.032",="-0.054*"
="",="(0.041)",="(0.033)",="(0.034)",="(0.032)",="(0.038)",="(0.030)",="(0.034)",="(0.032)"

="SP_b_L12x",="0.090",="0.0030",="0.0011",="-0.024",="0.062",="0.0085",="0.0022",="-0.022"
="",="(0.059)",="(0.048)",="(0.050)",="(0.048)",="(0.052)",="(0.042)",="(0.049)",="(0.047)"

="SP_b_L16",="0.072",="-0.035",="-0.036",="-0.056",="0.034",="-0.033",="-0.035",="-0.054"
="",="(0.067)",="(0.054)",="(0.056)",="(0.055)",="(0.059)",="(0.048)",="(0.055)",="(0.055)"

="N",="80857",="80857",="73944",="73944",="93726",="93726",="79612",="79612"
="R-sq",="0.322",="0.429",="0.433",="0.437",="0.308",="0.421",="0.429",="0.433"
="DepVarMean",="1.54",="1.54",="1.62",="1.62",="1.47",="1.47",="1.58",="1.58"
="num_mun",="1914",="1914",="1699",="1699",="2427",="2427",="2201",="2201"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
