
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tpc_sal",="lg_tpc_sal",="lg_tpc_sal",="lg_tpc_sal",="lg_tpc_sal",="lg_tpc_sal"

="SP_b_F16x",="-0.51***",="-0.057",="-0.064",="-0.058",="0.13*",="0.13*"
="",="(0.17)",="(0.15)",="(0.15)",="(0.15)",="(0.080)",="(0.080)"

="SP_b_F12x",="-0.30***",="-0.039",="-0.046",="-0.043",="0.051",="0.052"
="",="(0.084)",="(0.086)",="(0.086)",="(0.085)",="(0.057)",="(0.057)"

="SP_b_F8x",="-0.16***",="-0.036",="-0.039",="-0.038",="0.0078",="0.0084"
="",="(0.042)",="(0.045)",="(0.044)",="(0.044)",="(0.031)",="(0.031)"

="SP_bx",="0.17***",="0.072",="0.070",="0.069",="0.031",="0.031"
="",="(0.053)",="(0.055)",="(0.054)",="(0.054)",="(0.045)",="(0.045)"

="SP_b_L4x",="0.23***",="0.054",="0.052",="0.050",="-0.014",="-0.015"
="",="(0.085)",="(0.087)",="(0.086)",="(0.085)",="(0.066)",="(0.066)"

="SP_b_L8x",="0.32***",="0.095",="0.097",="0.094",="0.0100",="0.0088"
="",="(0.10)",="(0.11)",="(0.10)",="(0.10)",="(0.077)",="(0.077)"

="SP_b_L12x",="0.36***",="0.12",="0.12",="0.12",="0.021",="0.019"
="",="(0.12)",="(0.13)",="(0.13)",="(0.13)",="(0.096)",="(0.097)"

="SP_b_L16",="0.28**",="0.093",="0.092",="0.090",="-0.0037",="-0.0050"
="",="(0.14)",="(0.14)",="(0.14)",="(0.14)",="(0.11)",="(0.11)"

="N",="34233",="34233",="34181",="34181",="34181",="34181"
="R-sq",="0.214",="0.366",="0.368",="0.368",="0.389",="0.389"
="DepVarMean",="2.93",="2.93",="2.93",="2.93",="2.93",="2.93"
="num_mun",="1038",="1038",="1036",="1036",="1036",="1036"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
