
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tpu_sal_1000m",="lg_tpu_sal_1000m",="lg_tpu_sal_1000m",="lg_tpu_sal_1000m",="lg_tpu_sal_1000m",="lg_tpu_sal_1000m"

="SP_b_F16x",="0.0061",="-0.077",="-0.081",="-0.067",="-0.14*",="-0.13*"
="",="(0.045)",="(0.052)",="(0.053)",="(0.051)",="(0.082)",="(0.080)"

="SP_b_F12x",="-0.021",="-0.074",="-0.075",="-0.066",="-0.11",="-0.10"
="",="(0.034)",="(0.053)",="(0.054)",="(0.051)",="(0.071)",="(0.069)"

="SP_b_F8x",="-0.016",="-0.041",="-0.042",="-0.037",="-0.057",="-0.055"
="",="(0.021)",="(0.030)",="(0.031)",="(0.029)",="(0.039)",="(0.037)"

="SP_bx",="0.0067",="0.021",="0.022",="0.020",="0.038",="0.037"
="",="(0.015)",="(0.021)",="(0.021)",="(0.020)",="(0.028)",="(0.026)"

="SP_b_L4x",="0.027",="0.044",="0.045",="0.038",="0.075",="0.070"
="",="(0.025)",="(0.038)",="(0.038)",="(0.036)",="(0.048)",="(0.046)"

="SP_b_L8x",="0.031",="0.041",="0.042",="0.031",="0.084",="0.076"
="",="(0.032)",="(0.048)",="(0.047)",="(0.046)",="(0.058)",="(0.056)"

="SP_b_L12x",="0.018",="0.011",="0.011",="-0.00044",="0.062",="0.054"
="",="(0.037)",="(0.055)",="(0.054)",="(0.054)",="(0.064)",="(0.062)"

="SP_b_L16",="0.022",="-0.021",="-0.021",="-0.031",="0.042",="0.034"
="",="(0.044)",="(0.064)",="(0.063)",="(0.063)",="(0.066)",="(0.066)"

="N",="24017",="24017",="23945",="23945",="23945",="23945"
="R-sq",="0.104",="0.152",="0.154",="0.158",="0.169",="0.173"
="DepVarMean",="7.25",="7.25",="7.25",="7.25",="7.25",="7.25"
="num_mun",="738",="738",="736",="736",="736",="736"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
