
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tpu_sal_250",="lg_tpu_sal_250",="lg_tpu_sal_250",="lg_tpu_sal_250",="lg_tpu_sal_250",="lg_tpu_sal_250"

="SP_b_F16x",="0.00051",="-0.023",="-0.026",="-0.022",="-0.0034",="-0.0023"
="",="(0.026)",="(0.029)",="(0.029)",="(0.029)",="(0.022)",="(0.022)"

="SP_b_F12x",="-0.0032",="-0.011",="-0.013",="-0.011",="-0.0053",="-0.0045"
="",="(0.014)",="(0.018)",="(0.018)",="(0.018)",="(0.016)",="(0.016)"

="SP_b_F8x",="-0.0013",="-0.0041",="-0.0050",="-0.0039",="-0.0014",="-0.00091"
="",="(0.0081)",="(0.010)",="(0.010)",="(0.010)",="(0.0091)",="(0.0091)"

="SP_bx",="-0.0034",="-0.0045",="-0.0044",="-0.0050",="-0.0066",="-0.0067"
="",="(0.0081)",="(0.010)",="(0.010)",="(0.011)",="(0.0098)",="(0.0100)"

="SP_b_L4x",="-0.0072",="-0.013",="-0.013",="-0.015",="-0.015",="-0.016"
="",="(0.013)",="(0.018)",="(0.018)",="(0.018)",="(0.017)",="(0.017)"

="SP_b_L8x",="-0.0073",="-0.021",="-0.021",="-0.023",="-0.022",="-0.023"
="",="(0.018)",="(0.026)",="(0.026)",="(0.027)",="(0.025)",="(0.025)"

="SP_b_L12x",="0.0012",="-0.023",="-0.023",="-0.025",="-0.022",="-0.023"
="",="(0.023)",="(0.035)",="(0.035)",="(0.036)",="(0.034)",="(0.034)"

="SP_b_L16",="-0.000083",="-0.044",="-0.045",="-0.047",="-0.033",="-0.035"
="",="(0.028)",="(0.045)",="(0.045)",="(0.045)",="(0.044)",="(0.044)"

="N",="42522",="42522",="42426",="42409",="42426",="42409"
="R-sq",="0.166",="0.197",="0.197",="0.197",="0.200",="0.200"
="DepVarMean",="5.96",="5.96",="5.95",="5.95",="5.95",="5.95"
="num_mun",="1211",="1211",="1209",="1208",="1209",="1208"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
