
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_trab_eventual_campo_250",="lg_trab_eventual_campo_250",="lg_trab_eventual_campo_250",="lg_trab_eventual_campo_250",="lg_trab_eventual_campo_250",="lg_trab_eventual_campo_250"

="SP_b_F16x",="0.92**",="0.36",="0.35",="0.26",="0.37",="0.29"
="",="(0.42)",="(0.39)",="(0.38)",="(0.38)",="(0.41)",="(0.41)"

="SP_b_F12x",="0.45",="-0.18",="-0.18",="-0.25",="-0.17",="-0.23"
="",="(0.31)",="(0.30)",="(0.29)",="(0.29)",="(0.31)",="(0.31)"

="SP_b_F8x",="0.34*",="0.062",="0.062",="0.026",="0.051",="0.017"
="",="(0.19)",="(0.19)",="(0.19)",="(0.19)",="(0.19)",="(0.20)"

="SP_bx",="-0.20",="-0.033",="-0.032",="-0.0075",="-0.028",="-0.0051"
="",="(0.15)",="(0.15)",="(0.16)",="(0.16)",="(0.16)",="(0.17)"

="SP_b_L4x",="-0.42*",="-0.13",="-0.13",="-0.082",="-0.11",="-0.069"
="",="(0.24)",="(0.21)",="(0.22)",="(0.22)",="(0.24)",="(0.24)"

="SP_b_L8x",="-0.64*",="-0.21",="-0.21",="-0.17",="-0.18",="-0.14"
="",="(0.34)",="(0.25)",="(0.25)",="(0.25)",="(0.28)",="(0.29)"

="SP_b_L12x",="-0.63",="-0.11",="-0.11",="-0.058",="-0.051",="-0.0018"
="",="(0.42)",="(0.31)",="(0.31)",="(0.32)",="(0.36)",="(0.37)"

="SP_b_L16",="-0.76",="-0.20",="-0.20",="-0.14",="-0.099",="-0.041"
="",="(0.51)",="(0.34)",="(0.34)",="(0.34)",="(0.38)",="(0.38)"

="N",="5873",="5873",="5873",="5873",="5873",="5873"
="R-sq",="0.238",="0.354",="0.354",="0.357",="0.361",="0.364"
="DepVarMean",="4.30",="4.30",="4.30",="4.30",="4.30",="4.30"
="num_mun",="325",="325",="325",="325",="325",="325"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
