
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_trab_eventual_urb_1000m",="lg_trab_eventual_urb_1000m",="lg_trab_eventual_urb_1000m",="lg_trab_eventual_urb_1000m",="lg_trab_eventual_urb_1000m",="lg_trab_eventual_urb_1000m"

="SP_b_F16x",="-0.43***",="-0.077",="-0.072",="-0.071",="-0.079",="-0.080"
="",="(0.10)",="(0.15)",="(0.16)",="(0.16)",="(0.13)",="(0.13)"

="SP_b_F12x",="-0.23***",="-0.015",="-0.016",="-0.015",="-0.028",="-0.027"
="",="(0.065)",="(0.11)",="(0.11)",="(0.11)",="(0.098)",="(0.100)"

="SP_b_F8x",="-0.14***",="-0.023",="-0.023",="-0.022",="-0.026",="-0.024"
="",="(0.053)",="(0.080)",="(0.080)",="(0.080)",="(0.073)",="(0.073)"

="SP_bx",="-0.031",="-0.15*",="-0.15*",="-0.16*",="-0.15*",="-0.15**"
="",="(0.047)",="(0.081)",="(0.081)",="(0.081)",="(0.076)",="(0.077)"

="SP_b_L4x",="-0.020",="-0.24",="-0.25",="-0.25",="-0.24",="-0.24"
="",="(0.11)",="(0.19)",="(0.19)",="(0.19)",="(0.18)",="(0.18)"

="SP_b_L8x",="-0.044",="-0.35",="-0.36",="-0.36",="-0.35",="-0.35"
="",="(0.15)",="(0.26)",="(0.26)",="(0.26)",="(0.25)",="(0.25)"

="SP_b_L12x",="-0.046",="-0.43",="-0.43",="-0.43",="-0.42",="-0.42"
="",="(0.17)",="(0.31)",="(0.31)",="(0.31)",="(0.30)",="(0.30)"

="SP_b_L16",="-0.044",="-0.47",="-0.48",="-0.48",="-0.46",="-0.46"
="",="(0.17)",="(0.34)",="(0.33)",="(0.33)",="(0.32)",="(0.32)"

="N",="17961",="17961",="17890",="17890",="17890",="17890"
="R-sq",="0.177",="0.215",="0.216",="0.217",="0.228",="0.229"
="DepVarMean",="5.36",="5.36",="5.35",="5.35",="5.35",="5.35"
="num_mun",="678",="678",="676",="676",="676",="676"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
