
="",="(1)",="(2)",="(3)",="(4)"
="",="p9",="p9",="p9",="p9"

="SP_b_F16x",="-0.072***",="-0.00021",="-0.089***",="-0.00041"
="",="(0.019)",="(0.015)",="(0.019)",="(0.016)"

="SP_b_F12x",="-0.046***",="-0.021**",="-0.055***",="-0.023***"
="",="(0.011)",="(0.0088)",="(0.011)",="(0.0089)"

="SP_b_F8x",="-0.024***",="-0.013***",="-0.028***",="-0.014***"
="",="(0.0058)",="(0.0046)",="(0.0060)",="(0.0047)"

="SP_bx",="0.021***",="0.014***",="0.026***",="0.017***"
="",="(0.0063)",="(0.0053)",="(0.0067)",="(0.0056)"

="SP_b_L4x",="0.046***",="0.037***",="0.059***",="0.044***"
="",="(0.012)",="(0.010)",="(0.013)",="(0.011)"

="SP_b_L8x",="0.069***",="0.061***",="0.096***",="0.082***"
="",="(0.018)",="(0.016)",="(0.020)",="(0.017)"

="SP_b_L12x",="0.094***",="0.093***",="0.13***",="0.12***"
="",="(0.024)",="(0.022)",="(0.026)",="(0.024)"

="SP_b_L16",="0.16***",="0.18***",="0.21***",="0.23***"
="",="(0.039)",="(0.038)",="(0.041)",="(0.039)"

="N",="66636",="66636",="78086",="78086"
="R-sq",="0.986",="0.986",="0.984",="0.984"
="DepVarMean",="4.11",="4.11",="3.66",="3.66"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
