
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="p_50",="p_50",="p_50",="p_50",="p_50",="p_50"

="SP_b_F16x",="-0.013",="-0.011",="-0.0091",="-0.0092",="0.0015",="0.0013"
="",="(0.012)",="(0.010)",="(0.011)",="(0.010)",="(0.0075)",="(0.0075)"

="SP_b_F12x",="-0.011*",="-0.0072",="-0.0064",="-0.0063",="-0.0047",="-0.0047"
="",="(0.0055)",="(0.0061)",="(0.0062)",="(0.0061)",="(0.0053)",="(0.0052)"

="SP_b_F8x",="-0.0039",="-0.0016",="-0.00099",="-0.00083",="-0.00066",="-0.00055"
="",="(0.0029)",="(0.0031)",="(0.0032)",="(0.0031)",="(0.0028)",="(0.0027)"

="SP_bx",="-0.0022",="-0.0055*",="-0.0057*",="-0.0062**",="-0.0042",="-0.0046*"
="",="(0.0028)",="(0.0029)",="(0.0030)",="(0.0030)",="(0.0027)",="(0.0027)"

="SP_b_L4x",="-0.0042",="-0.011**",="-0.012**",="-0.012**",="-0.0069",="-0.0071"
="",="(0.0051)",="(0.0051)",="(0.0053)",="(0.0053)",="(0.0046)",="(0.0046)"

="SP_b_L8x",="-0.0083",="-0.020***",="-0.020***",="-0.020***",="-0.011*",="-0.011*"
="",="(0.0072)",="(0.0071)",="(0.0073)",="(0.0074)",="(0.0064)",="(0.0064)"

="SP_b_L12x",="-0.012",="-0.028***",="-0.029***",="-0.029***",="-0.014*",="-0.014*"
="",="(0.0092)",="(0.0086)",="(0.0088)",="(0.0089)",="(0.0077)",="(0.0076)"

="SP_b_L16",="-0.026**",="-0.045***",="-0.047***",="-0.048***",="-0.018**",="-0.018**"
="",="(0.012)",="(0.011)",="(0.011)",="(0.011)",="(0.0086)",="(0.0086)"

="N",="66202",="66202",="66061",="66001",="66061",="66001"
="R-sq",="0.220",="0.279",="0.272",="0.273",="0.285",="0.286"
="DepVarMean",="4.11",="4.11",="4.10",="4.10",="4.10",="4.10"
="num_mun",="1410",="1410",="1407",="1406",="1407",="1406"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
