
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="p_t",="p_t",="p_t",="p_t",="p_t",="p_t"

="SP_b_F16x",="-0.016",="-0.015",="-0.014",="-0.013",="-0.0015",="-0.0015"
="",="(0.011)",="(0.010)",="(0.010)",="(0.010)",="(0.0073)",="(0.0073)"

="SP_b_F12x",="-0.012**",="-0.0098*",="-0.0091",="-0.0086",="-0.0067",="-0.0065"
="",="(0.0053)",="(0.0059)",="(0.0061)",="(0.0059)",="(0.0052)",="(0.0051)"

="SP_b_F8x",="-0.0048*",="-0.0030",="-0.0024",="-0.0020",="-0.0017",="-0.0014"
="",="(0.0028)",="(0.0031)",="(0.0031)",="(0.0031)",="(0.0027)",="(0.0027)"

="SP_bx",="-0.0013",="-0.0042",="-0.0044",="-0.0051*",="-0.0033",="-0.0039"
="",="(0.0028)",="(0.0028)",="(0.0029)",="(0.0029)",="(0.0026)",="(0.0026)"

="SP_b_L4x",="-0.0027",="-0.0093*",="-0.0094*",="-0.010**",="-0.0055",="-0.0060"
="",="(0.0049)",="(0.0049)",="(0.0051)",="(0.0051)",="(0.0044)",="(0.0044)"

="SP_b_L8x",="-0.0057",="-0.017**",="-0.017**",="-0.018**",="-0.0086",="-0.0091"
="",="(0.0070)",="(0.0068)",="(0.0071)",="(0.0071)",="(0.0061)",="(0.0061)"

="SP_b_L12x",="-0.0086",="-0.024***",="-0.025***",="-0.026***",="-0.012",="-0.013*"
="",="(0.0089)",="(0.0083)",="(0.0086)",="(0.0087)",="(0.0074)",="(0.0073)"

="SP_b_L16",="-0.022*",="-0.041***",="-0.043***",="-0.044***",="-0.016*",="-0.017**"
="",="(0.012)",="(0.010)",="(0.011)",="(0.011)",="(0.0083)",="(0.0082)"

="N",="66268",="66268",="66127",="66067",="66127",="66067"
="R-sq",="0.231",="0.286",="0.281",="0.283",="0.293",="0.295"
="DepVarMean",="4.15",="4.15",="4.14",="4.14",="4.14",="4.14"
="num_mun",="1410",="1410",="1407",="1406",="1407",="1406"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
