
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="lg1_masa_sal_ta",="lg1_masa_sal_ta_1",="lg1_masa_sal_ta_50",="lg1_masa_sal_ta_250",="lg1_masa_sal_ta_1000m",="lg1_masa_sal_te",="lg1_masa_sal_tp",="lg1_masa_sal_tc",="lg1_masa_sal_tu"

="SP_b_F16x",="-0.10**",="0.028*",="-0.026",="-0.061",="-0.21***",="-0.062",="-0.097**",="-0.012",="-0.099**"
="",="(0.041)",="(0.015)",="(0.016)",="(0.062)",="(0.079)",="(0.065)",="(0.043)",="(0.043)",="(0.044)"

="SP_b_F12x",="-0.080**",="0.015",="-0.014",="-0.026",="-0.16**",="-0.037",="-0.076**",="-0.020",="-0.078**"
="",="(0.036)",="(0.011)",="(0.0093)",="(0.044)",="(0.061)",="(0.044)",="(0.038)",="(0.029)",="(0.038)"

="SP_b_F8x",="-0.036*",="0.0099",="-0.0011",="0.0017",="-0.079**",="-0.0025",="-0.037*",="-0.024",="-0.033"
="",="(0.020)",="(0.0065)",="(0.0055)",="(0.025)",="(0.034)",="(0.029)",="(0.021)",="(0.019)",="(0.022)"

="SP_bx",="0.026",="-0.014*",="-0.0026",="0.023",="0.053",="-0.0077",="0.029*",="0.030",="0.027"
="",="(0.017)",="(0.0076)",="(0.0087)",="(0.026)",="(0.036)",="(0.028)",="(0.017)",="(0.035)",="(0.018)"

="SP_b_L4x",="0.062**",="-0.016",="0.0037",="0.048",="0.14*",="0.015",="0.058**",="0.017",="0.061**"
="",="(0.027)",="(0.011)",="(0.012)",="(0.042)",="(0.073)",="(0.042)",="(0.029)",="(0.030)",="(0.029)"

="SP_b_L8x",="0.085***",="-0.012",="0.0038",="0.081",="0.25**",="0.013",="0.083**",="0.045",="0.083**"
="",="(0.030)",="(0.015)",="(0.014)",="(0.058)",="(0.11)",="(0.053)",="(0.032)",="(0.038)",="(0.033)"

="SP_b_L12x",="0.078***",="-0.0044",="0.0073",="0.091",="0.28*",="0.025",="0.080**",="0.070",="0.073**"
="",="(0.030)",="(0.018)",="(0.015)",="(0.069)",="(0.15)",="(0.063)",="(0.033)",="(0.054)",="(0.033)"

="SP_b_L16",="0.080**",="-0.0033",="-0.00025",="0.100",="0.30*",="0.0088",="0.080**",="0.094",="0.071**"
="",="(0.031)",="(0.021)",="(0.017)",="(0.079)",="(0.17)",="(0.074)",="(0.035)",="(0.069)",="(0.035)"

="N",="73944",="73944",="73944",="73944",="73944",="73944",="73944",="73944",="73944"
="R-sq",="0.455",="0.350",="0.471",="0.085",="0.060",="0.232",="0.372",="0.208",="0.374"
="DepVarMean",="5.57",="3.97",="4.90",="3.65",="2.39",="3.26",="5.31",="1.34",="5.35"
="num_mun",="1699",="1699",="1699",="1699",="1699",="1699",="1699",="1699",="1699"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
