
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d",="total_d",="total_d",="total_d"

="SP_b_F16x",="-0.023*",="-0.024",="-0.012",="-0.040***"
="",="(0.014)",="(0.016)",="(0.013)",="(0.015)"

="SP_b_F12x",="-0.020**",="-0.022**",="-0.014",="-0.029***"
="",="(0.0093)",="(0.0098)",="(0.0090)",="(0.0094)"

="SP_b_F8x",="-0.0054",="-0.0073",="-0.0015",="-0.0088"
="",="(0.0056)",="(0.0057)",="(0.0053)",="(0.0056)"

="SP_bx",="-0.0046",="-0.0033",="-0.0031",="0.0025"
="",="(0.0051)",="(0.0054)",="(0.0048)",="(0.0053)"

="SP_b_L4x",="0.0077",="0.0098",="0.0039",="0.014*"
="",="(0.0075)",="(0.0082)",="(0.0072)",="(0.0080)"

="SP_b_L8x",="0.0023",="0.0051",="-0.0028",="0.011"
="",="(0.0095)",="(0.010)",="(0.0094)",="(0.010)"

="SP_b_L12x",="0.0051",="0.0086",="-0.0030",="0.013"
="",="(0.011)",="(0.012)",="(0.011)",="(0.012)"

="SP_b_L16",="0.0069",="0.011",="-0.0062",="0.011"
="",="(0.014)",="(0.015)",="(0.014)",="(0.015)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.991",="0.991",="0.990",="0.990"
="DepVarMean",="3.15",="3.15",="2.83",="2.83"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
