
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_asist",="total_d_asist",="total_d_asist",="total_d_asist"

="SP_b_F16x",="-0.021",="-0.030",="-0.0090",="-0.038"
="",="(0.016)",="(0.019)",="(0.016)",="(.)"

="SP_b_F12x",="-0.015",="-0.026**",="-0.0067",="-0.026"
="",="(0.011)",="(0.012)",="(0.011)",="(.)"

="SP_b_F8x",="-0.0017",="-0.0099",="0.0026",="-0.0082"
="",="(0.0068)",="(0.0074)",="(0.0067)",="(.)"

="SP_bx",="-0.0056",="0.000062",="-0.0067",="0.0013"
="",="(0.0060)",="(0.0062)",="(0.0059)",="(.)"

="SP_b_L4x",="0.0072",="0.017*",="0.0014",="0.016"
="",="(0.0091)",="(0.0094)",="(0.0089)",="(.)"

="SP_b_L8x",="0.0038",="0.018",="-0.0019",="0.018"
="",="(0.012)",="(0.012)",="(0.012)",="(.)"

="SP_b_L12x",="0.0027",="0.021",="-0.0085",="0.015"
="",="(0.015)",="(0.015)",="(0.015)",="(.)"

="SP_b_L16",="0.0034",="0.027",="-0.012",="0.015"
="",="(0.018)",="(0.019)",="(0.018)",="(.)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.988",="0.988",="0.986",="0.987"
="DepVarMean",="2.83",="2.83",="2.45",="2.45"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
