
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_cov_isp",="total_d_cov_isp",="total_d_cov_isp",="total_d_cov_isp"

="SP_b_F16x",="-0.034**",="-0.020",="-0.024*",="-0.038**"
="",="(0.014)",="(0.020)",="(0.014)",="(0.018)"

="SP_b_F12x",="-0.025**",="-0.020*",="-0.020**",="-0.028**"
="",="(0.0099)",="(0.012)",="(0.0094)",="(0.012)"

="SP_b_F8x",="-0.0048",="-0.0034",="-0.0014",="-0.0049"
="",="(0.0062)",="(0.0071)",="(0.0059)",="(0.0069)"

="SP_bx",="0.0038",="0.0023",="0.0067",="0.0093"
="",="(0.0061)",="(0.0070)",="(0.0058)",="(0.0068)"

="SP_b_L4x",="0.021**",="0.018*",="0.017**",="0.022**"
="",="(0.0082)",="(0.010)",="(0.0080)",="(0.0099)"

="SP_b_L8x",="0.012",="0.0086",="0.0084",="0.015"
="",="(0.011)",="(0.013)",="(0.010)",="(0.013)"

="SP_b_L12x",="0.012",="0.0086",="0.0051",="0.012"
="",="(0.013)",="(0.016)",="(0.012)",="(0.015)"

="SP_b_L16",="0.013",="0.011",="0.0013",="0.0089"
="",="(0.016)",="(0.019)",="(0.016)",="(0.019)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.987",="0.987",="0.985",="0.985"
="DepVarMean",="2.72",="2.72",="2.40",="2.40"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
