
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_cov_sp",="total_d_cov_sp",="total_d_cov_sp",="total_d_cov_sp"

="SP_b_F16x",="-0.038**",="-0.020",="-0.025",="-0.048"
="",="(0.016)",="(0.023)",="(0.016)",="(.)"

="SP_b_F12x",="-0.027**",="-0.020",="-0.019*",="-0.033"
="",="(0.011)",="(0.014)",="(0.010)",="(.)"

="SP_b_F8x",="-0.0084",="-0.0060",="-0.0035",="-0.0094"
="",="(0.0070)",="(0.0082)",="(0.0067)",="(.)"

="SP_bx",="0.0020",="-0.00016",="0.0043",="0.0089"
="",="(0.0068)",="(0.0078)",="(0.0065)",="(.)"

="SP_b_L4x",="0.021**",="0.017",="0.015*",="0.024"
="",="(0.0096)",="(0.011)",="(0.0093)",="(.)"

="SP_b_L8x",="0.014",="0.0089",="0.0068",="0.019"
="",="(0.013)",="(0.015)",="(0.012)",="(.)"

="SP_b_L12x",="0.017",="0.012",="0.0052",="0.019"
="",="(0.015)",="(0.017)",="(0.014)",="(.)"

="SP_b_L16",="0.022",="0.020",="0.0034",="0.019"
="",="(0.018)",="(0.022)",="(0.018)",="(.)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.983",="0.983",="0.981",="0.981"
="DepVarMean",="2.40",="2.40",="2.11",="2.11"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
