
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_imss",="total_d_imss",="total_d_imss",="total_d_imss"

="SP_b_F16x",="-0.030",="-0.025",="-0.021",="-0.061**"
="",="(0.021)",="(.)",="(0.020)",="(0.027)"

="SP_b_F12x",="-0.023",="-0.021",="-0.019",="-0.041**"
="",="(0.016)",="(.)",="(0.015)",="(0.018)"

="SP_b_F8x",="-0.0091",="-0.010",="-0.0075",="-0.019*"
="",="(0.0098)",="(.)",="(0.0094)",="(0.010)"

="SP_bx",="0.0044",="0.0055",="0.00038",="0.0093"
="",="(0.0091)",="(.)",="(0.0086)",="(0.0086)"

="SP_b_L4x",="0.011",="0.012",="0.0025",="0.018"
="",="(0.013)",="(.)",="(0.012)",="(0.013)"

="SP_b_L8x",="0.021",="0.022",="0.0096",="0.031*"
="",="(0.016)",="(.)",="(0.015)",="(0.017)"

="SP_b_L12x",="0.029",="0.031",="0.012",="0.036*"
="",="(0.018)",="(.)",="(0.017)",="(0.019)"

="SP_b_L16",="0.035",="0.037",="0.012",="0.037"
="",="(0.023)",="(.)",="(0.022)",="(0.023)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.982",="0.982",="0.983",="0.983"
="DepVarMean",="1.56",="1.56",="1.19",="1.19"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
