
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_imss_cov_sp",="total_d_imss_cov_sp",="total_d_imss_cov_sp",="total_d_imss_cov_sp"

="SP_b_F16x",="-0.039*",="0.0035",="-0.031",="-0.050*"
="",="(0.023)",="(.)",="(0.023)",="(0.030)"

="SP_b_F12x",="-0.039**",="-0.015",="-0.034**",="-0.045**"
="",="(0.017)",="(.)",="(0.016)",="(0.020)"

="SP_b_F8x",="-0.0049",="0.0049",="-0.0037",="-0.0090"
="",="(0.012)",="(.)",="(0.012)",="(0.013)"

="SP_bx",="0.014",="0.0069",="0.0100",="0.015"
="",="(0.011)",="(.)",="(0.010)",="(0.010)"

="SP_b_L4x",="0.026*",="0.012",="0.017",="0.026"
="",="(0.015)",="(.)",="(0.014)",="(0.016)"

="SP_b_L8x",="0.037*",="0.018",="0.026",="0.037*"
="",="(0.019)",="(.)",="(0.018)",="(0.020)"

="SP_b_L12x",="0.043**",="0.021",="0.027",="0.039*"
="",="(0.022)",="(.)",="(0.020)",="(0.023)"

="SP_b_L16",="0.063**",="0.039",="0.041",="0.054*"
="",="(0.028)",="(.)",="(0.025)",="(0.028)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.976",="0.976",="0.977",="0.977"
="DepVarMean",="1.08",="1.08",="0.81",="0.81"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
