
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_imss_e",="total_d_imss_e",="total_d_imss_e",="total_d_imss_e"

="SP_b_F16x",="-0.030",="-0.024",="-0.027",="-0.049*"
="",="(0.021)",="(.)",="(0.021)",="(0.025)"

="SP_b_F12x",="-0.023",="-0.021",="-0.023",="-0.037**"
="",="(0.016)",="(.)",="(0.015)",="(0.017)"

="SP_b_F8x",="-0.0089",="-0.0099",="-0.0093",="-0.017*"
="",="(0.0098)",="(.)",="(0.0095)",="(0.0100)"

="SP_bx",="0.0044",="0.0054",="0.0023",="0.0083"
="",="(0.0091)",="(.)",="(0.0086)",="(0.0085)"

="SP_b_L4x",="0.011",="0.012",="0.0066",="0.017"
="",="(0.013)",="(.)",="(0.012)",="(0.012)"

="SP_b_L8x",="0.021",="0.022",="0.016",="0.030*"
="",="(0.016)",="(.)",="(0.016)",="(0.016)"

="SP_b_L12x",="0.029",="0.030",="0.019",="0.036*"
="",="(0.018)",="(.)",="(0.018)",="(0.018)"

="SP_b_L16",="0.035",="0.037",="0.022",="0.040*"
="",="(0.023)",="(.)",="(0.023)",="(0.022)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.982",="0.982",="0.983",="0.983"
="DepVarMean",="1.56",="1.56",="1.18",="1.18"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
