
="",="(1)",="(2)",="(3)",="(4)"
="",="total_d_sp",="total_d_sp",="total_d_sp",="total_d_sp"

="SP_b_F16x",="0.60***",="0.48",="0.62***",="0.58"
="",="(0.11)",="(.)",="(0.12)",="(.)"

="SP_b_F12x",="0.40***",="0.34",="0.41***",="0.39"
="",="(0.073)",="(.)",="(0.075)",="(.)"

="SP_b_F8x",="0.21***",="0.16",="0.22***",="0.19"
="",="(0.037)",="(.)",="(0.038)",="(.)"

="SP_bx",="0.053",="0.076",="0.065",="0.076"
="",="(0.051)",="(.)",="(0.051)",="(.)"

="SP_b_L4x",="0.23***",="0.27",="0.24***",="0.26"
="",="(0.086)",="(.)",="(0.085)",="(.)"

="SP_b_L8x",="0.36***",="0.41",="0.37***",="0.39"
="",="(0.099)",="(.)",="(0.096)",="(.)"

="SP_b_L12x",="0.48***",="0.53",="0.49***",="0.51"
="",="(0.11)",="(.)",="(0.10)",="(.)"

="SP_b_L16",="0.58***",="0.61",="0.61***",="0.62"
="",="(0.12)",="(.)",="(0.11)",="(.)"

="N",="49033",="49033",="69528",="69528"
="R-sq",="0.916",="0.919",="0.914",="0.917"
="DepVarMean",="0.79",="0.79",="0.74",="0.74"
="num_mun",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
