
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lg1_emp_cross_1",="lg1_emp_cross_50",="lg1_emp_cross_250",="lg1_emp_cross_1000m",="lg1_ta_low_wage",="lg1_ta_high_wage",="lg1_ta_soltero",="lg1_ta_casado"

="log_ind",="-0.0077",="-0.0034",="0.0048",="0.010",="-0.0012",="-0.0021",="-0.0050",="0.0038"
="",="(0.0067)",="(0.0032)",="(0.010)",="(0.016)",="(0.0045)",="(0.012)",="(0.0078)",="(0.0050)"

="lgpop",="0.32***",="0.22***",="0.38**",="0.44",="0.24**",="0.40***",="0.31***",="0.28***"
="",="(0.099)",="(0.082)",="(0.19)",="(0.30)",="(0.095)",="(0.14)",="(0.12)",="(0.084)"

="median_lum",="0.014**",="-0.0051",="-0.018",="-0.0034",="-0.010*",="-0.018",="-0.0027",="-0.015**"
="",="(0.0060)",="(0.0042)",="(0.016)",="(0.020)",="(0.0060)",="(0.012)",="(0.0060)",="(0.0061)"

="median_lum2",="-0.00050",="0.00019",="0.00083",="-0.00021",="0.00045",="0.0012",="0.00025",="0.00060*"
="",="(0.00031)",="(0.00018)",="(0.0010)",="(0.0013)",="(0.00031)",="(0.00071)",="(0.00035)",="(0.00033)"

="median_lum3",="0.0000053",="-0.00000083",="-0.0000050",="0.0000053",="-0.0000036",="-0.000011",="-0.0000030",="-0.0000041"
="",="(0.0000037)",="(0.0000020)",="(0.0000088)",="(0.000019)",="(0.0000030)",="(0.0000080)",="(0.0000039)",="(0.0000036)"

="sexo",="0.12**",="-0.27**",="-0.72***",="-0.63**",="-0.36**",="-1.03***",="-0.050",="-0.49**"
="",="(0.052)",="(0.13)",="(0.25)",="(0.32)",="(0.17)",="(0.30)",="(0.085)",="(0.20)"

="N",="28636",="28636",="28636",="28636",="28627",="28627",="25906",="25906"
="R-sq",="0.004",="0.050",="0.060",="0.025",="0.026",="0.313",="0.241",="0.146"
="DepVarMean",="1.38",="3.33",="2.49",="1.90",="3.85",="2.51",="1.90",="3.25"
="num_mun",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
