
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="trend_e9",="trend_e9",="trend_e9",="trend_e9",="trend_e9",="trend_e9"

="total_clues",="0.0013",="0.0017",="",="-0.059*",="-0.029",=""
="",="(0.0041)",="(0.0048)",="",="(0.032)",="(0.035)",=""

="clave_institucion",="-0.0035",="-0.0029",="",="0.010",="0.0098",=""
="",="(0.0025)",="(0.0027)",="",="(0.021)",="(0.021)",=""

="nivel_atencion_3",="-0.0019",="-0.0020",="",="-0.032*",="-0.026",=""
="",="(0.0028)",="(0.0031)",="",="(0.017)",="(0.017)",=""

="nivel_atencion_4",="0.0019",="0.00064",="",="-0.030",="-0.027",=""
="",="(0.0047)",="(0.0052)",="",="(0.022)",="(0.024)",=""

="totaldeconsultorios",="-0.0019",="-0.0024",="",="-0.012",="-0.0076",=""
="",="(0.0044)",="(0.0049)",="",="(0.032)",="(0.033)",=""

="totaldecamas",="-0.00055",="-0.00055",="",="0.0046",="0.0027",=""
="",="(0.0016)",="(0.0017)",="",="(0.0068)",="(0.0068)",=""

="dummy_gov1",="-0.0034",="-0.0030",="",="0.0045",="0.0059",=""
="",="(0.0033)",="(0.0038)",="",="(0.0077)",="(0.0081)",=""

="dummy_gov2",="0.0079",="0.0072",="",="0",="0",=""
="",="(0.0056)",="(0.0061)",="",="(.)",="(.)",=""

="lgpop",="0.0051*",="0.0051",="0.0017",="0.041",="0.068",="0.017"
="",="(0.0027)",="(0.0035)",="(0.0011)",="(0.047)",="(0.061)",="(0.046)"

="median_lum",="0.0000020",="-0.000029",="0.000037",="-0.00035",="0.00059",="-0.00096"
="",="(0.00011)",="(0.00012)",="(0.000099)",="(0.0020)",="(0.0020)",="(0.0020)"

="N",="27747",="27747",="27747",="27740",="27740",="27740"
="R-sq",="0.000",="0.001",="0.000",="0.021",="0.021",="0.020"
="Fstat",="1.24",="1.03",="1.36",="3.20",="1.75",="0.17"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
