
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="informal2",="noimss2",="informal2",="noimss2",="informal2",="noimss2"

="2.sex1",="0.0056***",="0.0077***",="0.014***",="0.013***",="0.031***",="0.0067***"
="",="(0.000023)",="(0.000015)",="(0.000024)",="(0.000016)",="(0.000029)",="(0.000019)"

="eda1",="-0.0010***",="0.00098***",="-0.00078***",="0.0012***",="-0.00079***",="0.0011***"
="",="(0.00000081)",="(0.00000047)",="(0.00000080)",="(0.00000047)",="(0.00000076)",="(0.00000048)"

="anios_esc1",="-0.0099***",="-0.0031***",="-0.0081***",="-0.0018***",="-0.0060***",="-0.0015***"
="",="(0.0000045)",="(0.0000016)",="(0.0000042)",="(0.0000015)",="(0.0000036)",="(0.0000016)"

="hrsocup1",="-0.0012***",="-0.00051***",="-0.0013***",="-0.00046***",="-0.0014***",="-0.00049***"
="",="(0.00000056)",="(0.00000035)",="(0.00000057)",="(0.00000035)",="(0.00000058)",="(0.00000037)"

="log_ing1",="-0.0022***",="-0.0024***",="0.0031***",="0.00025***",="0.0033***",="0.00081***"
="",="(0.0000078)",="(0.0000048)",="(0.0000082)",="(0.0000050)",="(0.0000085)",="(0.0000052)"

="2.t_tra1",="0.022***",="0.019***",="0.00089***",="0.0055***",="0.0046***",="0.0049***"
="",="(0.000035)",="(0.000023)",="(0.000036)",="(0.000023)",="(0.000035)",="(0.000023)"

="median_lum1",="-0.00025***",="-0.00032***",="0.00023***",="0.000080***",="0.00023***",="0.00012***"
="",="(0.00000059)",="(0.00000039)",="(0.0000072)",="(0.0000051)",="(0.0000071)",="(0.0000051)"

="N",="905547541",="1128366743",="905547541",="1128366743",="905547541",="1128366743"
="R-sq",="0.882",="0.936",="0.057",="0.036",="0.079",="0.047"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
