
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="informal2",="noimss2",="informal2",="noimss2",="informal2",="noimss2"

="2.sex1",="-0.026***",="-0.031***",="-0.026***",="-0.030***",="-0.0082***",="-0.026***"
="",="(0.000031)",="(0.000038)",="(0.000031)",="(0.000038)",="(0.000031)",="(0.000039)"

="eda1_for",="-0.0079***",="",="-0.015***",="",="-0.0092***",=""
="",="(0.000053)",="",="(0.000054)",="",="(0.000054)",=""

="anios_esc1_for",="-0.13***",="",="-0.12***",="",="-0.086***",=""
="",="(0.000039)",="",="(0.000039)",="",="(0.000041)",=""

="hrsocup1_for",="0.0034***",="",="0.0058***",="",="-0.0066***",=""
="",="(0.000018)",="",="(0.000018)",="",="(0.000018)",=""

="log_ing_c_for",="-0.0047***",="",="-0.0042***",="",="-0.0052***",=""
="",="(0.0000076)",="",="(0.0000075)",="",="(0.0000074)",=""

="2.t_tra1",="0.037***",="0.060***",="0.027***",="0.059***",="0.039***",="0.053***"
="",="(0.000069)",="(0.00010)",="(0.000068)",="(0.00010)",="(0.000066)",="(0.00010)"

="casado1",="-0.023***",="-0.029***",="-0.025***",="-0.028***",="-0.021***",="-0.026***"
="",="(0.000034)",="(0.000041)",="(0.000034)",="(0.000041)",="(0.000033)",="(0.000041)"

="median_lum_c_for",="0.00031***",="",="0.0025***",="",="0.0022***",=""
="",="(0.000038)",="",="(0.000039)",="",="(0.000038)",=""

="eda1_imss",="",="-0.0069***",="",="-0.0089***",="",="-0.021***"
="",="",="(0.000067)",="",="(0.000068)",="",="(0.000068)"

="anios_esc1_imss",="",="-0.051***",="",="-0.048***",="",="-0.046***"
="",="",="(0.000048)",="",="(0.000048)",="",="(0.000049)"

="hrsocup1_imss",="",="-0.0092***",="",="-0.0094***",="",="-0.0069***"
="",="",="(0.000028)",="",="(0.000027)",="",="(0.000027)"

="log_ing_c_imss",="",="-0.0041***",="",="-0.0039***",="",="-0.0036***"
="",="",="(0.000011)",="",="(0.000011)",="",="(0.000011)"

="median_lum_c_imss",="",="-0.0012***",="",="0.0025***",="",="0.0028***"
="",="",="(0.000047)",="",="(0.000048)",="",="(0.000047)"

="N",="573058893",="381956553",="573058893",="381956553",="573058893",="381956553"
="R-sq",="0.175",="0.149",="0.062",="0.037",="0.103",="0.061"
="obs",="2293948",="1523807",="2293948",="1523807",="2293948",="1523807"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
